Cancer id,Cancer label,Population id,Country label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,1,0,2003,232.889611,199.739792,15.43805636,8519
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,1,0,2004,235.3873363,203.475678,15.51739802,8830
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,1,0,2005,241.1665288,210.4894077,15.81545025,9305
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,1,0,2006,236.4465949,207.8276645,15.62007845,9357
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,1,0,2007,232.7039145,206.9335279,15.41609737,9483
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,1,0,2008,225.7894168,203.3813638,14.98637979,9576
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,1,0,2009,231.5890904,210.3804674,15.37294892,10079
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,1,0,2010,235.7178941,218.6007671,15.64343362,10463
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,1,0,2011,230.7171308,217.6751838,15.30795254,10585
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,1,0,2012,223.9432704,213.3109702,14.79552054,10500
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,1,0,2013,238.7102233,230.7022232,15.72871922,11457
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,1,0,2014,230.1860495,224.8190788,15.18234967,11294
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,1,0,2015,236.3894875,233.1780126,15.57751216,11845
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,1,0,2016,227.9721699,227.5136132,14.96331618,11673
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,2,0,2003,234.6398375,221.4386426,14.0395931,10188
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,2,0,2004,229.4489827,217.4154685,13.7309322,10171
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,2,0,2005,230.3341368,219.9666247,13.90354829,10470
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,2,0,2006,231.8644859,223.3832746,13.89051313,10817
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,2,0,2007,234.3038867,228.2624385,13.99969987,11244
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,2,0,2008,234.1899405,230.1253524,13.95187347,11567
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,2,0,2009,234.2985874,232.4305768,14.01714399,11869
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,2,0,2010,247.2090989,247.6172742,14.61140672,12633
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,2,0,2011,252.4786958,255.3729495,14.80356006,13226
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,2,0,2012,245.8978353,250.6909004,14.60613407,13116
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,2,0,2013,265.2386912,272.2885973,15.54108866,14476
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,2,0,2014,269.6519382,278.659761,15.7205216,14975
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,2,0,2015,268.4335322,279.9212065,15.72738733,15198
0,All sites excl. non-melanoma skin cancer,32_152_188_170_218_630,Argentina; Chile; Colombia; Costa Rica; Ecuador; Puerto Rico,2,0,2016,263.2068666,276.3869841,15.41041177,15149
