Alpha-3 code;Cancer code;Population code (ISO/UN);Country;Label;Sex;Number;MIR;Crude rate;Cumulative risk;indicator
AFG;10;4;4;Afghanistan;0;63;0.063829787;15;4;MIR
ALB;10;8;8;Albania;0;4;0.208333333;14;0;MIR
DZA;10;12;12;Algeria;0;70;0.411764706;15;1;MIR
AGO;10;24;24;Angola;0;23;0.625;7;2;MIR
AZE;10;31;31;Azerbaijan;0;72;0.655172414;7;5;MIR
ARG;10;32;32;Argentina;0;105;3.2;23;2;MIR
AUS;10;36;36;Australia;0;135;1.642857143;52;3;MIR
AUT;10;40;40;Austria;0;55;2;61;3;MIR
BHS;10;44;44;Bahamas;0;0;0;0;0;MIR
BHR;10;48;48;Bahrain;0;1;0.041666667;6;2;MIR
BGD;10;50;50;Bangladesh;0;216;0.583333333;13;1;MIR
ARM;10;51;51;Armenia;0;4;0.333333333;13;1;MIR
BRB;10;52;52;Barbados;0;0;0;0;0;MIR
BEL;10;56;56;Belgium;0;60;18;51;2;MIR
BTN;10;64;64;Bhutan;0;0;Inf;0;0;MIR
BOL;10;68;68;Bolivia;0;0;0;0;0;MIR
BIH;10;70;70;Bosnia Herzegovina;0;3;0.25;9;1;MIR
BWA;10;72;72;Botswana;0;10;0.605633803;41;4;MIR
BRA;10;76;76;Brazil;0;820;2.454545455;38;3;MIR
BLZ;10;84;84;Belize;0;0;Inf;0;0;MIR
SLB;10;90;90;Solomon Islands;0;2;1;28;1;MIR
BRN;10;96;96;Brunei Darussalam;0;0;Inf;0;0;MIR
BGR;10;100;100;Bulgaria;0;25;0.285714286;37;2;MIR
MMR;10;104;104;Myanmar;0;71;0.419354839;13;1;MIR
BDI;10;108;108;Burundi;0;40;0.777777778;32;8;MIR
BLR;10;112;112;Belarus;0;50;0.346666667;53;3;MIR
KHM;10;116;116;Cambodia;0;16;0.413793103;9;1;MIR
CMR;10;120;120;Cameroon;0;72;0.676470588;26;5;MIR
CAN;10;124;124;Canada;0;211;1.916666667;55;2;MIR
CPV;10;132;132;Cape Verde;0;0;0;0;0;MIR
CAF;10;140;140;Central African Republic;0;14;0.964912281;28;7;MIR
LKA;10;144;144;Sri Lanka;0;60;0.414634146;28;2;MIR
TCD;10;148;148;Chad;0;7;0.076923077;4;0;MIR
CHL;10;152;152;Chile;0;40;0.289473684;21;1;MIR
CHN;10;156;160;China;0;4159;0.681818182;29;2;MIR
COL;10;170;170;Colombia;0;117;0.205128205;23;2;MIR
COM;10;174;174;Comoros;0;0;Inf;0;0;MIR
COG;10;178;178;Congo, Republic of;0;21;0.678571429;36;6;MIR
COD;10;180;180;Congo, Democratic People Republic of;0;394;0.846938776;41;9;MIR
CRI;10;188;188;Costa Rica;0;6;0.304347826;12;1;MIR
HRV;10;191;191;Croatia;0;17;0.229166667;42;1;MIR
CUB;10;192;192;Cuba;0;48;0.265060241;42;3;MIR
CYP;10;196;196;Cyprus;0;3;0.019607843;25;1;MIR
CZE;10;203;203;Czechia;0;138;5;13;7;MIR
BEN;10;204;204;Benin;0;36;0.738461538;28;6;MIR
DNK;10;208;208;Denmark;0;49;1.9375;84;3;MIR
DOM;10;214;214;Dominican Republic;0;6;0.3125;5;1;MIR
ECU;10;218;218;Ecuador;0;33;0.242424242;18;2;MIR
SLV;10;222;222;El Salvador;0;4;0.2;6;0;MIR
GNQ;10;226;226;Equatorial Guinea;0;7;1;47;7;MIR
ETH;10;231;231;Ethiopia;0;249;0.727272727;21;3;MIR
ERI;10;232;232;Eritrea;0;3;0.083333333;8;1;MIR
EST;10;233;233;Estonia;0;7;0.231884058;53;2;MIR
FJI;10;242;242;Fiji;0;0;0;0;0;MIR
FIN;10;246;246;Finland;0;20;0.272727273;36;1;MIR
FRA;10;250;250;France (metropolitan);0;503;1.9375;77;4;MIR
GUF;10;254;254;French Guyana;0;0;0;0;0;MIR
PYF;10;258;258;French Polynesia;0;1;1;35;0;MIR
DJI;10;262;262;Djibouti;0;0;Inf;0;0;MIR
GAB;10;266;266;Gabon;0;11;5.181818182;47;6;MIR
GEO;10;268;268;Georgia;0;12;7.5;3;2;MIR
GMB;10;270;270;The Republic of the Gambia;0;0;Inf;0;0;MIR
PSE;10;275;275;Gaza Strip and West Bank;0;2;0.727272727;4;2;MIR
DEU;10;276;276;Germany;0;700;2.066666667;83;3;MIR
GHA;10;288;288;Ghana;0;133;0.666666667;41;6;MIR
GRC;10;300;300;Greece;0;49;0.211764706;47;2;MIR
GLP;10;312;312;France, Guadeloupe;0;1;0.212121212;25;0;MIR
GUM;10;316;316;Guam;0;0;Inf;0;0;MIR
GTM;10;320;320;Guatemala;0;3;0.4;2;0;MIR
GIN;10;324;324;Guinea;0;27;0.87804878;19;3;MIR
GUY;10;328;328;Guyana;0;0;0;0;0;MIR
HTI;10;332;332;Haiti;0;39;0.571428571;33;3;MIR
HND;10;340;340;Honduras;0;20;0.396551724;2;2;MIR
HUN;10;348;348;Hungary;0;26;0.458333333;27;1;MIR
ISL;10;352;352;Iceland;0;0;0;0;0;MIR
IND;10;356;356;India;0;2626;0.5;19;2;MIR
IDN;10;360;360;Indonesia;0;374;0.464285714;13;1;MIR
IRN;10;364;364;Iran, Islamic Republic of;0;95;0.038461538;11;1;MIR
IRQ;10;368;368;Iraq;0;26;0.6875;6;1;MIR
IRL;10;372;372;Ireland;0;17;0.217948718;34;2;MIR
ISR;10;376;376;Israel;0;8;0.1875;9;1;MIR
ITA;10;380;380;Italy;0;426;23;71;2;MIR
CIV;10;384;384;Côte d'Ivoire;0;60;0.660377358;22;4;MIR
JAM;10;388;388;Jamaica;0;8;0.323076923;27;3;MIR
JPN;10;392;392;Japan;0;539;0.034482759;43;1;MIR
KAZ;10;398;398;Kazakhstan;0;45;0.08;23;2;MIR
JOR;10;400;400;Jordan;0;8;0.407407407;8;1;MIR
KEN;10;404;404;Kenya;0;172;0.724137931;31;6;MIR
PRK;10;408;408;Korea, Democratic People Republic of;0;20;0.555555556;8;1;MIR
KOR;10;410;410;Korea, Republic of;0;100;0.205882353;19;1;MIR
KWT;10;414;414;Kuwait;0;2;0.1875;5;0;MIR
KGZ;10;417;417;Kyrgyzstan;0;11;0.076923077;16;2;MIR
LAO;10;418;418;Lao People's Democratic Republic;0;7;0.631578947;9;1;MIR
LBN;10;422;422;Lebanon;0;6;0.333333333;9;1;MIR
LSO;10;426;426;Lesotho;0;6;1;28;3;MIR
LVA;10;428;428;Latvia;0;14;0.363636364;76;3;MIR
LBR;10;430;430;Liberia;0;14;1;26;5;MIR
LBY;10;434;434;Libya;0;8;0.047619048;11;1;MIR
LTU;10;440;440;Lithuania;0;21;0.063829787;79;4;MIR
LUX;10;442;442;Luxembourg;0;0;0;0;0;MIR
MDG;10;450;450;Madagascar;0;154;6.857142857;53;11;MIR
MWI;10;454;454;Malawi;0;68;0.729411765;34;7;MIR
MYS;10;458;458;Malaysia;0;53;0.538461538;16;1;MIR
MDV;10;462;462;Maldives;0;0;Inf;0;0;MIR
MLI;10;466;466;Mali;0;50;0.786885246;23;4;MIR
MLT;10;470;470;Malta;0;0;0;0;0;MIR
MTQ;10;474;474;France, Martinique;0;0;0;0;0;MIR
MRT;10;478;478;Mauritania;0;23;0.857142857;47;8;MIR
MUS;10;480;480;Mauritius;0;0;0;0;0;MIR
MEX;10;484;484;Mexico;0;94;0.260869565;7;1;MIR
MNG;10;496;496;Mongolia;0;3;0.027777778;9;1;MIR
MDA;10;498;498;Moldova;0;2;0.166666667;5;1;MIR
MNE;10;499;499;Montenegro;0;3;0.287878788;48;4;MIR
MAR;10;504;504;Morocco;0;140;0.516129032;37;4;MIR
MOZ;10;508;508;Mozambique;0;95;0.803030303;29;6;MIR
OMN;10;512;512;Oman;0;14;0.652173913;26;6;MIR
NAM;10;516;516;Namibia;0;6;0.626865672;23;7;MIR
NPL;10;524;524;Nepal;0;21;0.466666667;7;1;MIR
NLD;10;528;528;The Netherlands;0;84;2;49;3;MIR
NCL;10;540;540;New Caledonia;0;0;0;0;0;MIR
VUT;10;548;548;Vanuatu;0;1;1;31;3;MIR
NZL;10;554;554;New Zealand;0;30;0.402597403;61;3;MIR
NIC;10;558;558;Nicaragua;0;11;0.43902439;16;2;MIR
NER;10;562;562;Niger;0;91;0.770114943;35;8;MIR
NGA;10;566;566;Nigeria;0;1045;0.076923077;48;12;MIR
NOR;10;578;578;Norway;0;21;0.161616162;38;2;MIR
PAK;10;586;586;Pakistan;0;279;0.457142857;12;2;MIR
PAN;10;591;591;Panama;0;8;0.419354839;18;2;MIR
PNG;10;598;598;Papua New Guinea;0;42;4.631578947;45;8;MIR
