hdi_rank,Country,Human_Development_Index,Life_expectancy_at_birth_y,Expected_years_of_schooling_y,Mean_years__sching_y,GINI_per_capita_2011PPP_dolar,GNI_per_capita_rank.minus_HDI_rank,hdi_rank_2016,hdi_category
1,Norway,0.953,82.3,17.9,12.6,68012,5,1,Very high
2,Switzerland,0.944,83.5,16.2,13.4,57625,8,2,Very high
3,Australia,0.939,83.1,22.9,12.9,43560,18,3,Very high
4,Ireland,0.938,81.6,19.6,12.5,53754,8,4,Very high
5,Germany,0.936,81.2,17,14.1,46136,13,4,Very high
6,Iceland,0.935,82.9,19.3,12.4,45810,13,6,Very high
7,"Hong Kong, China (SAR)",0.933,84.1,16.3,12,58420,2,8,Very high
8,Sweden,0.933,82.6,17.6,12.4,47766,9,7,Very high
9,Singapore,0.932,83.2,16.2,11.5,82503,–6,8,Very high
10,The Netherlands,0.931,82,18,12.2,47900,5,10,Very high
11,Denmark,0.929,80.9,19.1,12.6,47918,3,10,Very high
12,Canada,0.926,82.5,16.4,13.3,43433,10,12,Very high
13,United States of America,0.924,79.5,16.5,13.4,54941,–2,12,Very high
14,United Kingdom,0.922,81.7,17.4,12.9,39116,13,14,Very high
15,Finland,0.92,81.5,17.6,12.4,41002,10,15,Very high
16,New Zealand,0.917,82,18.9,12.5,33970,18,16,Very high
17,Belgium,0.916,81.3,19.8,11.8,42156,6,16,Very high
18,Liechtenstein,0.916,80.4,14.7,12.5,97336,–15,16,Very high
19,Japan,0.909,83.9,15.2,12.8,38986,9,19,Very high
20,Austria,0.908,81.8,16.1,12.1,45415,0,20,Very high
21,Luxembourg,0.904,82,14,12.1,65016,–13,26,Very high
22,Israel,0.903,82.7,15.9,13,32711,13,21,Very high
23,"Korea, Republic of",0.903,82.4,16.5,12.1,35945,8,22,Very high
24,France (metropolitan),0.901,82.7,16.4,11.5,39254,2,23,Very high
25,Slovenia,0.896,81.1,17.2,12.2,30594,12,24,Very high
26,Spain,0.891,83.3,17.9,9.8,34258,7,25,Very high
27,Czechia,0.888,78.9,16.9,12.7,30588,11,27,Very high
28,Italy,0.88,83.2,16.3,10.2,35299,3,28,Very high
29,Malta,0.878,81,15.9,11.3,34396,3,29,Very high
30,Estonia,0.871,77.7,16.1,12.7,28993,10,30,Very high
31,Greece,0.87,81.4,17.3,10.8,24648,20,30,Very high
32,Cyprus,0.869,80.7,14.6,12.1,31568,4,32,Very high
33,Poland,0.865,77.8,16.4,12.3,26150,12,34,Very high
34,United Arab Emirates,0.863,77.4,13.6,10.8,67805,–27,33,Very high
