Country,sdi_2018,sdi_2019,sdi_2020,sdi_2021
Global,0.651048474,0.656575898,0.661343543,0.665820975
"Central Europe,  eastern Europe and  and central Asia",0.760760366,0.764227123,0.766837051,0.769466346
Central Asia,0.666666449,0.669837304,0.67248671,0.675163978
Armenia,0.690276872,0.694765962,0.698268899,0.701833194
Azerbaijan,0.686561093,0.689834715,0.692605192,0.694851274
Georgia,0.717993654,0.724536462,0.729125889,0.732473604
Kazakhstan,0.718531999,0.720797602,0.722788768,0.725144495
Kyrgyzstan,0.591237134,0.596501638,0.600499554,0.603979328
Mongolia,0.607501833,0.611250681,0.614629637,0.617621565
Tajikistan,0.529153916,0.533769951,0.537690531,0.541511187
Turkmenistan,0.669433599,0.674303536,0.67829818,0.682160776
Uzbekistan,0.651918144,0.655836959,0.659124204,0.662621694
Central Europe,0.785476334,0.789748976,0.793111123,0.796244448
Albania,0.695566878,0.700287863,0.703790245,0.706849791
Bosnia Herzegovina,0.712347302,0.716857125,0.720202056,0.723077893
Bulgaria,0.75914846,0.762359791,0.765089711,0.768150939
Croatia,0.78867141,0.792475415,0.795462272,0.798341027
Czechia,0.822034486,0.824784473,0.826626631,0.828450433
Hungary,0.782083661,0.784910309,0.78762039,0.790754768
Montenegro,0.784408971,0.789026903,0.792554393,0.795800584
North Macedonia,0.74133437,0.745193569,0.7478499,0.750629703
Poland,0.799478982,0.804791332,0.808795318,0.812042809
Romania,0.755533333,0.760283971,0.764276444,0.768453864
Serbia,0.781494974,0.7857683,0.789183333,0.792416294
Slovakia,0.804357302,0.806448457,0.808305966,0.81061053
Slovenia,0.835472481,0.838266782,0.840373846,0.842430731
Eastern Europe,0.794485575,0.798138377,0.800505061,0.802851009
Belarus,0.776568957,0.780508019,0.782381565,0.784484711
Estonia,0.834566296,0.838573509,0.841817139,0.844917787
Latvia,0.821419809,0.824781777,0.827900448,0.830663516
Lithuania,0.84191891,0.847906339,0.852752388,0.856484049
Moldova,0.717244427,0.723011648,0.72771054,0.732214875
Russian Federation,0.800108144,0.803658201,0.806011474,0.808536005
Ukraine,0.754451727,0.757980081,0.759929872,0.760773913
High income,0.84388377,0.847532653,0.849867902,0.85188481
Australia,0.835354624,0.839317426,0.842051314,0.844252814
New Zealand,0.840597863,0.844533209,0.847398737,0.849442499
High-income Asia Pacific,0.869072595,0.872218835,0.874437255,0.876767
Brunei Darussalam,0.801436553,0.804499388,0.807424091,0.810234367
Japan,0.864237137,0.867148183,0.869106879,0.871241813
Korea,,,,
Singapore,0.850762729,0.852497338,0.85429601,0.856097766
High-income North America,0.856316178,0.859749397,0.861874247,0.863465474
Canada,0.867905541,0.870554479,0.871992631,0.87317068
United States of America,0.855049193,0.858578065,0.860792773,0.862448354
Southern Latin America,0.724952157,0.731133817,0.733963357,0.735984717
Argentina,0.712888693,0.719002843,0.721294303,0.723122973
Chile,0.758625714,0.765120323,0.769213676,0.771514716
Uruguay,0.70690493,0.712536588,0.716169766,0.719283445
Western Europe,0.84083355,0.844212109,0.846550359,0.848726316
Andorra,0.862588951,0.865621024,0.867449169,0.869444113
Austria,0.84661447,0.849862515,0.852020385,0.853837004
Belgium,0.846617625,0.849498395,0.851346649,0.853654016
Cyprus,0.828343243,0.830980728,0.833059523,0.835630545
Denmark,0.887529846,0.891624571,0.894368297,0.896424204
Finland,0.852202943,0.855365179,0.857655553,0.859831368
France (metropolitan),0.83044859,0.833772805,0.836049443,0.838364875
Germany,0.896975545,0.899703158,0.901438614,0.902957091
Greece,0.785999753,0.788138138,0.78963222,0.791854408
Iceland,0.869219822,0.87242558,0.874323153,0.87636168
Ireland,0.863925284,0.869412503,0.871958822,0.87375385
Israel,0.799124994,0.803232991,0.806351589,0.809011652
Italy,0.79836269,0.801530021,0.80363568,0.805773534
Luxembourg,0.878637895,0.880593895,0.882495316,0.884428955
Malta,0.790965618,0.795197846,0.798375166,0.801585034
Monaco,0.903388687,0.905030991,0.906685437,0.908262831
The Netherlands,0.881900218,0.88464384,0.886558566,0.888464256
Norway,0.909261782,0.912278761,0.91452992,0.91613281
Portugal,0.734402947,0.738090481,0.741037384,0.744151851
San Marino,0.885133516,0.88620066,0.886867937,0.888005474
Spain,0.760659575,0.763942918,0.766506025,0.769283698
Sweden,0.879888912,0.882984116,0.88506201,0.886880299
Switzerland,0.92855059,0.930682102,0.932027645,0.933059111
UK,0.849969788,0.854130573,0.85692029,0.859000182
United Kingdom,0.853015796,0.85723951,0.859846755,0.861437309
Northern Ireland,0.832806988,0.835250701,0.837049319,0.838531942
Scotland,0.84476207,0.848638591,0.850787145,0.852061416
Wales,0.824617063,0.8297892,0.832714295,0.834278536
Latin America and Caribbean,0.634537971,0.639173108,0.64298253,0.646541285
Andean Latin America,0.638860164,0.643921325,0.647806819,0.651602456
Bolivia,0.585184106,0.590692043,0.594854443,0.599010799
Ecuador,0.64588852,0.651787987,0.656714457,0.661017053
Peru,0.650977317,0.655433735,0.658672244,0.662054037
Caribbean,0.633972166,0.63732123,0.639708532,0.642003055
Antigua and Barbuda,0.738879106,0.74305296,0.74634533,0.749886887
Bahamas,0.798179034,0.80103307,0.802948018,0.805020668
Barbados,0.739531437,0.742239309,0.744366646,0.746748764
Belize,0.598512015,0.603351601,0.607060046,0.610229002
Bermuda,0.814892802,0.817000338,0.81920342,0.821365422
Cuba,0.656858654,0.661674717,0.665210747,0.668729864
Dominica,0.738935954,0.742132066,0.744419944,0.746967185
Dominican Republic,0.606960839,0.611913021,0.615635625,0.619388201
Grenada,0.655372772,0.660808512,0.665086347,0.668993028
French Guyana,0.627167041,0.633640347,0.642284645,0.650812335
Haiti,0.441678925,0.444328854,0.446390614,0.448278285
Jamaica,0.674075313,0.677778539,0.680567177,0.683263064
Puerto Rico,0.812906066,0.818843191,0.822918436,0.825525847
Saint Kitts and Nevis,0.743736461,0.748152066,0.751568409,0.754987055
Saint Lucia,0.663086682,0.666840359,0.66972049,0.672509735
Saint Vincent and the Grenadines,0.622634944,0.628325986,0.632860904,0.637195963
Suriname,0.624708011,0.627896781,0.630683705,0.633665739
Trinidad and Tobago,0.761241991,0.764169599,0.766422081,0.768763254
Virgin Islands,0.81482544,0.817429008,0.819601712,0.821830853
Central Latin America,0.627764642,0.632847071,0.636995887,0.6406851
Colombia,0.640255072,0.646038852,0.650855354,0.655442913
Costa Rica,0.681296147,0.690049088,0.696194605,0.700340477
El Salvador,0.548143174,0.554031648,0.558919894,0.563775188
Guatemala,0.520995469,0.52863047,0.534571414,0.539972424
Honduras,0.498657227,0.504156505,0.508669246,0.513037248
Mexico,0.649053317,0.655095338,0.660119062,0.664575304
Nicaragua,0.512338228,0.516597046,0.52029267,0.523958472
Panama,0.686719925,0.69667068,0.70378849,0.708864828
Venezuela,0.604068247,0.602313887,0.600034781,0.596513059
Tropical Latin America,0.640179901,0.644693634,0.648602851,0.652442394
Brazil,0.640802974,0.645298005,0.649201568,0.653043887
Paraguay,0.620032362,0.626070139,0.631057689,0.635718099
North Africa and Middle East,0.637917915,0.645094792,0.651673493,0.658224715
North Africa and Middle East,0.637917915,0.645094792,0.651673493,0.658224715
Afghanistan,0.314866093,0.322454047,0.329830068,0.337199998
Algeria,0.642500039,0.648210785,0.653651466,0.659500924
Bahrain,0.736192583,0.742847804,0.748103083,0.753043204
Egypt,0.577442786,0.587736877,0.597363341,0.606787094
Iran,,,,
Iraq,0.633232108,0.643635318,0.65330038,0.662626231
Jordan,0.709412879,0.714998946,0.72006824,0.725307227
Kuwait,0.834371461,0.839688307,0.843459812,0.846651055
Lebanon,0.734746243,0.738644009,0.74200972,0.744746351
Libya,0.712720438,0.716157239,0.720270393,0.725771399
Morocco,0.539729671,0.547837444,0.555246069,0.562698301
Oman,0.759179514,0.764527863,0.768854216,0.773391602
Palestine,0.608124861,0.616466839,0.623810015,0.631011665
Qatar,0.829962127,0.835805284,0.841467395,0.846860584
Saudi Arabia,0.800656985,0.806087841,0.810541861,0.815143493
Sudan,0.516214086,0.525009122,0.533455422,0.541949735
Syrian Arab Republic,0.608507164,0.613336836,0.617727593,0.623004075
Tunisia,0.668218997,0.673170552,0.677615148,0.682432216
Türkiye,0.689895867,0.698263774,0.705799744,0.712692673
United Arab Emirates,0.83990014,0.842985326,0.846151976,0.849317734
Yemen,0.440727991,0.4440014,0.446893069,0.450376375
South Asia,0.534477408,0.543245696,0.550585566,0.557864657
South Asia,0.534477408,0.543245696,0.550585566,0.557864657
Bangladesh,0.461717749,0.473264998,0.483079169,0.492420885
Bhutan,0.459624711,0.464633353,0.468714479,0.473062378
India,0.551930326,0.560809927,0.568138149,0.575401649
Nepal,0.415236684,0.422007252,0.427417089,0.433174635
Pakistan,0.484326128,0.491022981,0.497364406,0.504028689
"Southeast Asia,  east Asia, and  and Oceania",0.676603325,0.684704677,0.69221505,0.698849901
East Asia,0.698625829,0.708327813,0.717709308,0.725704902
China,0.693717996,0.703686824,0.713364585,0.72162976
Oceania,0.460818103,0.463333934,0.465534643,0.467445126
Cook Islands,0.764041182,0.769795913,0.774700578,0.779109955
Fiji,0.661991454,0.667060979,0.671431491,0.675051631
Kiribati,0.514810384,0.519441321,0.523454113,0.527186583
Marshall Islands,0.557599278,0.56342875,0.568837509,0.574091128
Federated States of Micronesia,0.577555081,0.581195255,0.584527229,0.587534967
Nauru,0.605311879,0.612697253,0.619330076,0.625177834
Palau,0.74776125,0.750715307,0.752780929,0.754046931
Papua New Guinea,0.409165083,0.412311147,0.415186879,0.417797443
Samoa,0.582320661,0.586256695,0.590075296,0.593392769
Solomon Islands,0.418889221,0.422736386,0.426112429,0.429360316
Tonga,0.611953942,0.617324063,0.622104456,0.626349936
Tuvalu,0.559859395,0.566045489,0.571666102,0.576620529
Vanuatu,0.462080221,0.466276162,0.470038391,0.473100706
Southeast Asia,0.634095876,0.640106755,0.645069663,0.649777295
Cambodia,0.45734149,0.46364343,0.468876054,0.473621491
Indonesia,0.64094875,0.646865457,0.651926648,0.656868336
Lao People's Democratic Republic,0.472618103,0.478811373,0.484192959,0.489136091
Malaysia,0.729388078,0.734587751,0.738743993,0.742523828
Maldives,0.637205659,0.643082794,0.647608589,0.650886627
Mauritius,0.706266651,0.710935045,0.714629804,0.718260446
Myanmar,0.517557469,0.52410897,0.529434703,0.53390084
Philippines,0.630464276,0.638547384,0.644867233,0.651219329
