Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk,indicator
AFG,10,4,4,Afghanistan,0,110,0.47,0.27,0.06,incidence
ALB,10,8,8,Albania,0,11,0.24,0.38,0.03,incidence
DZA,10,12,12,Algeria,0,158,0.34,0.35,0.04,incidence
AGO,10,24,24,Angola,0,38,0.24,0.11,0.04,incidence
AZE,10,31,31,Azerbaijan,0,106,0.87,1,0.08,incidence
ARG,10,32,32,Argentina,0,294,0.5,0.64,0.06,incidence
AUS,10,36,36,Australia,0,646,1.4,2.5,0.17,incidence
AUT,10,40,40,Austria,0,199,1.1,2.2,0.13,incidence
BHS,10,44,44,Bahamas,0,6,1.3,1.5,0.15,incidence
BHR,10,48,48,Bahrain,0,3,0.24,0.17,0.03,incidence
BGD,10,50,50,Bangladesh,0,372,0.24,0.22,0.03,incidence
ARM,10,51,51,Armenia,0,12,0.24,0.4,0.04,incidence
BRB,10,52,52,Barbados,0,8,1.4,2.8,0.19,incidence
BEL,10,56,56,Belgium,0,240,1,2.1,0.12,incidence
BTN,10,64,64,Bhutan,0,0,0,0,0,incidence
BOL,10,68,68,Bolivia,0,10,0.08,0.08,0.01,incidence
BIH,10,70,70,Bosnia Herzegovina,0,10,0.16,0.31,0.02,incidence
BWA,10,72,72,Botswana,0,16,0.71,0.66,0.07,incidence
BRA,10,76,76,Brazil,0,3138,1.1,1.5,0.12,incidence
BLZ,10,84,84,Belize,0,0,0,0,0,incidence
SLB,10,90,90,Solomon Islands,0,2,0.35,0.28,0.01,incidence
BRN,10,96,96,Brunei Darussalam,0,0,0,0,0,incidence
BGR,10,100,100,Bulgaria,0,68,0.49,0.99,0.06,incidence
MMR,10,104,104,Myanmar,0,178,0.31,0.32,0.03,incidence
BDI,10,108,108,Burundi,0,54,0.99,0.43,0.11,incidence
BLR,10,112,112,Belarus,0,127,0.75,1.4,0.09,incidence
KHM,10,116,116,Cambodia,0,41,0.29,0.24,0.03,incidence
CMR,10,120,120,Cameroon,0,103,0.68,0.37,0.08,incidence
CAN,10,124,124,Canada,0,888,1.2,2.3,0.14,incidence
CPV,10,132,132,Cape Verde,0,2,0.39,0.35,0.05,incidence
CAF,10,140,140,Central African Republic,0,16,0.57,0.32,0.07,incidence
LKA,10,144,144,Sri Lanka,0,139,0.41,0.64,0.05,incidence
TCD,10,148,148,Chad,0,9,0.13,0.05,0,incidence
CHL,10,152,152,Chile,0,118,0.38,0.61,0.04,incidence
CHN,10,156,160,China,0,5568,0.22,0.39,0.02,incidence
COL,10,170,170,Colombia,0,532,0.78,1,0.1,incidence
COM,10,174,174,Comoros,0,0,0,0,0,incidence
COG,10,178,178,"Congo, Republic of",0,29,0.84,0.5,0.11,incidence
COD,10,180,180,"Congo, Democratic People Republic of",0,495,0.98,0.52,0.11,incidence
CRI,10,188,188,Costa Rica,0,18,0.23,0.35,0.03,incidence
HRV,10,191,191,Croatia,0,43,0.48,1.1,0.06,incidence
CUB,10,192,192,Cuba,0,182,0.83,1.6,0.11,incidence
CYP,10,196,196,Cyprus,0,11,0.51,0.9,0.06,incidence
CZE,10,203,203,Czechia,0,263,1.1,2.5,0.14,incidence
BEN,10,204,204,Benin,0,49,0.65,0.38,0.09,incidence
DNK,10,208,208,Denmark,0,183,1.6,3.1,0.19,incidence
DOM,10,214,214,Dominican Republic,0,20,0.16,0.18,0.02,incidence
ECU,10,218,218,Ecuador,0,133,0.66,0.73,0.09,incidence
SLV,10,222,222,El Salvador,0,19,0.25,0.29,0.03,incidence
GNQ,10,226,226,Equatorial Guinea,0,7,0.72,0.47,0.07,incidence
ETH,10,231,231,Ethiopia,0,346,0.44,0.29,0.05,incidence
ERI,10,232,232,Eritrea,0,4,0.12,0.11,0.01,incidence
EST,10,233,233,Estonia,0,16,0.69,1.2,0.07,incidence
FJI,10,242,242,Fiji,0,5,0.53,0.55,0.05,incidence
FIN,10,246,246,Finland,0,53,0.44,0.95,0.05,incidence
FRA,10,250,250,France (metropolitan),0,1982,1.6,3,0.19,incidence
GUF,10,254,254,French Guyana,0,2,0.69,0.64,0.13,incidence
PYF,10,258,258,French Polynesia,0,1,0.21,0.35,0,incidence
DJI,10,262,262,Djibouti,0,0,0,0,0,incidence
GAB,10,266,266,Gabon,0,18,1.1,0.77,0.11,incidence
GEO,10,268,268,Georgia,0,19,0.2,0.48,0.02,incidence
GMB,10,270,270,The Republic of the Gambia,0,0,0,0,0,incidence
PSE,10,275,275,Gaza Strip and West Bank,0,3,0.11,0.06,0.02,incidence
DEU,10,276,276,Germany,0,2693,1.5,3.2,0.18,incidence
GHA,10,288,288,Ghana,0,214,0.93,0.66,0.09,incidence
GRC,10,300,300,Greece,0,185,0.85,1.8,0.1,incidence
GLP,10,312,312,"France, Guadeloupe",0,3,0.33,0.75,0.04,incidence
GUM,10,316,316,Guam,0,0,0,0,0,incidence
GTM,10,320,320,Guatemala,0,6,0.05,0.03,0.01,incidence
