Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,32,All cancers excl. non-melanoma skin cancer,0,129689,210.7,281.9,21.7
1,C00-06,32,"Lip, oral cavity",0,1236,2.0,2.7,0.24
2,C07-08,32,Salivary glands,0,309,0.48,0.67,0.06
3,C09-10,32,Oropharynx,0,436,0.75,0.95,0.10
4,C11,32,Nasopharynx,0,153,0.26,0.33,0.03
5,C12-13,32,Hypopharynx,0,86,0.15,0.19,0.02
6,C15,32,Oesophagus,0,2142,3.1,4.7,0.38
7,C16,32,Stomach,0,4460,6.7,9.7,0.80
41,C18-C21,32,Colorectum,0,15863,24.2,34.5,2.8
11,C22,32,Liver and intrahepatic bile ducts,0,2504,3.7,5.4,0.45
12,C23,32,Gallbladder,0,810,1.3,1.8,0.15
13,C25,32,Pancreas,0,5554,7.9,12.1,0.92
14,C32,32,Larynx,0,1266,2.1,2.8,0.27
15,C33-34,32,"Trachea, bronchus and lung",0,13016,19.9,28.3,2.5
16,C43,32,Melanoma of skin,0,1603,2.6,3.5,0.29
18,C45,32,Mesothelioma,0,248,0.37,0.54,0.05
19,C46,32,Kaposi sarcoma,0,246,0.45,0.53,0.04
20,C50,32,Breast,0,21631,71.3,91.8,7.8
21,C51,32,Vulva,0,343,0.83,1.5,0.09
22,C52,32,Vagina,0,106,0.32,0.45,0.03
23,C53,32,Cervix uteri,0,4696,16.8,19.9,1.7
24,C54,32,Corpus uteri,0,2686,8.6,11.4,1.0
25,C56,32,Ovary,0,2191,6.8,9.3,0.79
26,C60,32,Penis,0,470,1.6,2.1,0.16
27,C61,32,Prostate,0,12836,44.7,57.2,5.9
28,C62,32,Testis,0,2054,8.5,9.2,0.64
29,C64,32,Kidney,0,4908,8.1,10.7,0.99
30,C67,32,Bladder,0,3713,5.2,8.1,0.61
31,C70-72,32," Brain, central nervous system",0,2012,3.7,4.4,0.36
32,C73,32,Thyroid,0,4229,8.0,9.2,0.78
33,C81,32,Hodgkin lymphoma,0,873,1.7,1.9,0.14
34,C82-86+C88,32,Non-Hodgkin lymphoma,0,3838,6.6,8.3,0.72
35,C90,32,Multiple myeloma,0,1059,1.7,2.3,0.20
36,C91-95,32,Leukaemia,0,2998,5.3,6.5,0.48
