Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,108,All cancers excl. non-melanoma skin cancer,0,7873,126.2,62.4,13.2
1,C00-06,108,"Lip, oral cavity",0,101,1.8,0.80,0.20
2,C07-08,108,Salivary glands,0,26,0.42,0.21,0.05
3,C09-10,108,Oropharynx,0,25,0.45,0.20,0.06
4,C11,108,Nasopharynx,0,72,1.1,0.57,0.11
5,C12-13,108,Hypopharynx,0,15,0.30,0.12,0.04
6,C15,108,Oesophagus,0,458,8.8,3.6,1.0
7,C16,108,Stomach,0,284,5.3,2.3,0.65
41,C18-C21,108,Colorectum,0,359,6.4,2.8,0.74
11,C22,108,Liver and intrahepatic bile ducts,0,347,5.8,2.8,0.68
12,C23,108,Gallbladder,0,9,0.17,0.07,0.02
13,C25,108,Pancreas,0,81,1.5,0.64,0.18
14,C32,108,Larynx,0,62,1.2,0.49,0.13
15,C33-34,108,"Trachea, bronchus and lung",0,182,3.4,1.4,0.40
16,C43,108,Melanoma of skin,0,51,0.99,0.40,0.11
18,C45,108,Mesothelioma,0,5,0.07,0.04,0.01
19,C46,108,Kaposi sarcoma,0,446,4.9,3.5,0.45
20,C50,108,Breast,0,863,25.3,13.6,2.8
21,C51,108,Vulva,0,49,1.3,0.77,0.13
22,C52,108,Vagina,0,14,0.43,0.22,0.04
23,C53,108,Cervix uteri,0,1457,43.6,22.9,4.7
24,C54,108,Corpus uteri,0,71,2.4,1.1,0.29
25,C56,108,Ovary,0,165,4.8,2.6,0.54
26,C60,108,Penis,0,64,2.5,1.0,0.29
27,C61,108,Prostate,0,822,38.0,13.1,4.5
28,C62,108,Testis,0,15,0.44,0.24,0.06
29,C64,108,Kidney,0,128,1.2,1.0,0.10
30,C67,108,Bladder,0,108,2.1,0.86,0.24
31,C70-72,108," Brain, central nervous system",0,99,1.3,0.78,0.13
32,C73,108,Thyroid,0,77,1.3,0.61,0.14
33,C81,108,Hodgkin lymphoma,0,80,0.92,0.63,0.08
34,C82-86+C88,108,Non-Hodgkin lymphoma,0,378,4.5,3.0,0.45
35,C90,108,Multiple myeloma,0,45,0.83,0.36,0.10
36,C91-95,108,Leukaemia,0,194,2.2,1.5,0.22
