Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,116,All cancers excl. non-melanoma skin cancer,0,19516,136.3,113.7,13.8
1,C00-06,116,"Lip, oral cavity",0,523,3.9,3.1,0.40
2,C07-08,116,Salivary glands,0,89,0.56,0.52,0.05
3,C09-10,116,Oropharynx,0,122,0.79,0.71,0.08
4,C11,116,Nasopharynx,0,310,2.1,1.8,0.23
5,C12-13,116,Hypopharynx,0,90,0.67,0.52,0.08
6,C15,116,Oesophagus,0,382,2.9,2.2,0.29
7,C16,116,Stomach,0,562,4.1,3.3,0.43
41,C18-C21,116,Colorectum,0,1726,12.6,10.1,1.4
11,C22,116,Liver and intrahepatic bile ducts,0,3497,25.1,20.4,2.8
12,C23,116,Gallbladder,0,147,1.2,0.86,0.12
13,C25,116,Pancreas,0,194,1.4,1.1,0.16
14,C32,116,Larynx,0,170,1.3,0.99,0.16
15,C33-34,116,"Trachea, bronchus and lung",0,2161,15.7,12.6,1.8
16,C43,116,Melanoma of skin,0,70,0.51,0.41,0.06
18,C45,116,Mesothelioma,0,2,0.01,0.01,0.00
19,C46,116,Kaposi sarcoma,0,1,0.01,0.01,0.00
20,C50,116,Breast,0,2116,25.1,24.1,2.6
21,C51,116,Vulva,0,39,0.50,0.44,0.05
22,C52,116,Vagina,0,10,0.12,0.11,0.01
23,C53,116,Cervix uteri,0,1274,15.2,14.5,1.7
24,C54,116,Corpus uteri,0,261,3.1,3.0,0.34
25,C56,116,Ovary,0,470,5.6,5.4,0.54
26,C60,116,Penis,0,97,1.5,1.2,0.17
27,C61,116,Prostate,0,249,5.2,3.0,0.54
28,C62,116,Testis,0,75,0.89,0.89,0.06
29,C64,116,Kidney,0,197,1.3,1.2,0.10
30,C67,116,Bladder,0,256,2.0,1.5,0.22
31,C70-72,116," Brain, central nervous system",0,563,3.8,3.3,0.36
32,C73,116,Thyroid,0,721,4.7,4.2,0.45
33,C81,116,Hodgkin lymphoma,0,74,0.45,0.43,0.04
34,C82-86+C88,116,Non-Hodgkin lymphoma,0,638,4.3,3.7,0.40
35,C90,116,Multiple myeloma,0,135,1.0,0.79,0.12
36,C91-95,116,Leukaemia,0,722,4.7,4.2,0.45
