Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,140,All cancers excl. non-melanoma skin cancer,0,2656,100.6,52.9,10.7
1,C00-06,140,"Lip, oral cavity",0,37,1.4,0.74,0.16
2,C07-08,140,Salivary glands,0,15,0.59,0.30,0.06
3,C09-10,140,Oropharynx,0,8,0.28,0.16,0.02
4,C11,140,Nasopharynx,0,40,1.4,0.80,0.16
5,C12-13,140,Hypopharynx,0,0,0.00,0.00,0.00
6,C15,140,Oesophagus,0,33,1.3,0.66,0.18
7,C16,140,Stomach,0,82,3.5,1.6,0.37
41,C18-C21,140,Colorectum,0,153,5.7,3.1,0.60
11,C22,140,Liver and intrahepatic bile ducts,0,171,6.4,3.4,0.69
12,C23,140,Gallbladder,0,8,0.36,0.16,0.04
13,C25,140,Pancreas,0,29,1.2,0.58,0.16
14,C32,140,Larynx,0,13,0.55,0.26,0.07
15,C33-34,140,"Trachea, bronchus and lung",0,46,2.0,0.92,0.25
16,C43,140,Melanoma of skin,0,23,1.0,0.46,0.14
18,C45,140,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,140,Kaposi sarcoma,0,64,2.3,1.3,0.24
20,C50,140,Breast,0,574,37.7,22.7,3.9
21,C51,140,Vulva,0,16,1.3,0.63,0.16
22,C52,140,Vagina,0,3,0.21,0.12,0.03
23,C53,140,Cervix uteri,0,295,21.8,11.7,2.5
24,C54,140,Corpus uteri,0,25,2.0,0.99,0.26
25,C56,140,Ovary,0,86,5.8,3.4,0.64
26,C60,140,Penis,0,1,0.12,0.04,0.02
27,C61,140,Prostate,0,257,31.3,10.3,3.6
28,C62,140,Testis,0,3,0.10,0.12,0.01
29,C64,140,Kidney,0,39,1.1,0.78,0.11
30,C67,140,Bladder,0,36,1.5,0.72,0.17
31,C70-72,140," Brain, central nervous system",0,26,0.74,0.52,0.08
32,C73,140,Thyroid,0,30,1.3,0.60,0.14
33,C81,140,Hodgkin lymphoma,0,17,0.39,0.34,0.04
34,C82-86+C88,140,Non-Hodgkin lymphoma,0,135,4.6,2.7,0.49
35,C90,140,Multiple myeloma,0,28,1.2,0.56,0.15
36,C91-95,140,Leukaemia,0,91,2.9,1.8,0.31
