Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,178,All cancers excl. non-melanoma skin cancer,0,2717,80.5,46.9,8.9
1,C00-06,178,"Lip, oral cavity",0,20,0.61,0.34,0.08
2,C07-08,178,Salivary glands,0,8,0.23,0.14,0.03
3,C09-10,178,Oropharynx,0,4,0.11,0.07,0.01
4,C11,178,Nasopharynx,0,15,0.41,0.26,0.06
5,C12-13,178,Hypopharynx,0,0,0.00,0.00,0.00
6,C15,178,Oesophagus,0,13,0.43,0.22,0.06
7,C16,178,Stomach,0,110,3.4,1.9,0.37
41,C18-C21,178,Colorectum,0,168,4.8,2.9,0.56
11,C22,178,Liver and intrahepatic bile ducts,0,268,6.9,4.6,0.73
12,C23,178,Gallbladder,0,2,0.08,0.03,0.02
13,C25,178,Pancreas,0,37,1.1,0.64,0.14
14,C32,178,Larynx,0,16,0.52,0.28,0.07
15,C33-34,178,"Trachea, bronchus and lung",0,40,1.4,0.69,0.18
16,C43,178,Melanoma of skin,0,44,1.6,0.76,0.20
18,C45,178,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,178,Kaposi sarcoma,0,15,0.35,0.26,0.03
20,C50,178,Breast,0,530,26.9,18.3,2.9
21,C51,178,Vulva,0,23,1.6,0.79,0.19
22,C52,178,Vagina,0,5,0.29,0.17,0.04
23,C53,178,Cervix uteri,0,397,22.3,13.7,2.6
24,C54,178,Corpus uteri,0,21,1.2,0.72,0.16
25,C56,178,Ovary,0,68,3.5,2.3,0.39
26,C60,178,Penis,0,1,0.05,0.03,0.00
27,C61,178,Prostate,0,441,42.3,15.2,4.8
28,C62,178,Testis,0,1,0.03,0.03,0.00
29,C64,178,Kidney,0,39,0.67,0.67,0.05
30,C67,178,Bladder,0,21,0.63,0.36,0.08
31,C70-72,178," Brain, central nervous system",0,14,0.29,0.24,0.03
32,C73,178,Thyroid,0,14,0.45,0.24,0.06
33,C81,178,Hodgkin lymphoma,0,4,0.07,0.07,0.01
34,C82-86+C88,178,Non-Hodgkin lymphoma,0,50,1.2,0.86,0.12
35,C90,178,Multiple myeloma,0,41,1.3,0.71,0.16
36,C91-95,178,Leukaemia,0,104,2.4,1.8,0.25
