Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,262,All cancers excl. non-melanoma skin cancer,0,787,88.7,77.5,9.5
1,C00-06,262,"Lip, oral cavity",0,14,1.6,1.4,0.21
2,C07-08,262,Salivary glands,0,0,0.00,0.00,0.00
3,C09-10,262,Oropharynx,0,0,0.00,0.00,0.00
4,C11,262,Nasopharynx,0,6,0.69,0.59,0.08
5,C12-13,262,Hypopharynx,0,0,0.00,0.00,0.00
6,C15,262,Oesophagus,0,21,2.5,2.1,0.31
7,C16,262,Stomach,0,24,2.9,2.4,0.31
41,C18-C21,262,Colorectum,0,58,6.4,5.7,0.74
11,C22,262,Liver and intrahepatic bile ducts,0,30,3.5,3.0,0.41
12,C23,262,Gallbladder,0,4,0.54,0.39,0.08
13,C25,262,Pancreas,0,11,1.4,1.1,0.18
14,C32,262,Larynx,0,6,0.75,0.59,0.11
15,C33-34,262,"Trachea, bronchus and lung",0,26,3.1,2.6,0.33
16,C43,262,Melanoma of skin,0,0,0.00,0.00,0.00
18,C45,262,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,262,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,262,Breast,0,180,38.1,37.2,3.9
21,C51,262,Vulva,0,3,0.86,0.62,0.15
22,C52,262,Vagina,0,1,0.22,0.21,0.03
23,C53,262,Cervix uteri,0,71,16.5,14.7,1.9
24,C54,262,Corpus uteri,0,10,2.5,2.1,0.32
25,C56,262,Ovary,0,29,6.5,6.0,0.76
26,C60,262,Penis,0,0,0.00,0.00,0.00
27,C61,262,Prostate,0,41,11.1,7.7,1.4
28,C62,262,Testis,0,0,0.00,0.00,0.00
29,C64,262,Kidney,0,16,1.9,1.6,0.21
30,C67,262,Bladder,0,17,2.1,1.7,0.26
31,C70-72,262," Brain, central nervous system",0,6,0.60,0.59,0.06
32,C73,262,Thyroid,0,26,3.0,2.6,0.36
33,C81,262,Hodgkin lymphoma,0,3,0.29,0.30,0.02
34,C82-86+C88,262,Non-Hodgkin lymphoma,0,45,5.0,4.4,0.52
35,C90,262,Multiple myeloma,0,2,0.30,0.20,0.05
36,C91-95,262,Leukaemia,0,39,4.3,3.8,0.42
