Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,222,All cancers excl. non-melanoma skin cancer,0,9600,124.9,146.6,12.4
1,C00-06,222,"Lip, oral cavity",0,98,1.2,1.5,0.10
2,C07-08,222,Salivary glands,0,34,0.45,0.52,0.04
3,C09-10,222,Oropharynx,0,22,0.26,0.34,0.03
4,C11,222,Nasopharynx,0,5,0.06,0.08,0.00
5,C12-13,222,Hypopharynx,0,5,0.05,0.08,0.01
6,C15,222,Oesophagus,0,87,1.0,1.3,0.10
7,C16,222,Stomach,0,693,8.2,10.6,0.83
41,C18-C21,222,Colorectum,0,692,8.7,10.6,0.90
11,C22,222,Liver and intrahepatic bile ducts,0,471,5.6,7.2,0.58
12,C23,222,Gallbladder,0,84,1.0,1.3,0.11
13,C25,222,Pancreas,0,220,2.6,3.4,0.28
14,C32,222,Larynx,0,48,0.59,0.73,0.06
15,C33-34,222,"Trachea, bronchus and lung",0,386,4.7,5.9,0.49
16,C43,222,Melanoma of skin,0,35,0.44,0.53,0.04
18,C45,222,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,222,Kaposi sarcoma,0,3,0.04,0.05,0.00
20,C50,222,Breast,0,1612,39.7,46.2,4.2
21,C51,222,Vulva,0,28,0.48,0.80,0.04
22,C52,222,Vagina,0,10,0.17,0.29,0.01
23,C53,222,Cervix uteri,0,627,15.2,18.0,1.5
24,C54,222,Corpus uteri,0,124,2.9,3.6,0.33
25,C56,222,Ovary,0,182,4.3,5.2,0.44
26,C60,222,Penis,0,28,0.83,0.91,0.06
27,C61,222,Prostate,0,1392,41.9,45.5,5.1
28,C62,222,Testis,0,41,1.2,1.3,0.09
29,C64,222,Kidney,0,151,2.1,2.3,0.23
30,C67,222,Bladder,0,101,1.2,1.5,0.12
31,C70-72,222," Brain, central nervous system",0,291,3.9,4.4,0.37
32,C73,222,Thyroid,0,159,2.4,2.4,0.25
33,C81,222,Hodgkin lymphoma,0,66,0.88,1.0,0.07
34,C82-86+C88,222,Non-Hodgkin lymphoma,0,184,2.5,2.8,0.24
35,C90,222,Multiple myeloma,0,58,0.78,0.89,0.09
36,C91-95,222,Leukaemia,0,563,7.7,8.6,0.68
