Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,226,All cancers excl. non-melanoma skin cancer,0,910,105.8,60.8,11.2
1,C00-06,226,"Lip, oral cavity",0,18,2.7,1.2,0.33
2,C07-08,226,Salivary glands,0,3,0.19,0.20,0.01
3,C09-10,226,Oropharynx,0,7,0.90,0.47,0.10
4,C11,226,Nasopharynx,0,8,0.81,0.53,0.08
5,C12-13,226,Hypopharynx,0,0,0.00,0.00,0.00
6,C15,226,Oesophagus,0,7,0.86,0.47,0.09
7,C16,226,Stomach,0,22,2.7,1.5,0.28
41,C18-C21,226,Colorectum,0,49,5.6,3.3,0.64
11,C22,226,Liver and intrahepatic bile ducts,0,74,7.4,4.9,0.81
12,C23,226,Gallbladder,0,2,0.19,0.13,0.02
13,C25,226,Pancreas,0,16,2.4,1.1,0.30
14,C32,226,Larynx,0,9,1.4,0.60,0.19
15,C33-34,226,"Trachea, bronchus and lung",0,20,2.7,1.3,0.35
16,C43,226,Melanoma of skin,0,3,0.45,0.20,0.03
18,C45,226,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,226,Kaposi sarcoma,0,49,4.8,3.3,0.51
20,C50,226,Breast,0,174,41.0,26.2,4.1
21,C51,226,Vulva,0,0,0.00,0.00,0.00
22,C52,226,Vagina,0,1,0.14,0.15,0.01
23,C53,226,Cervix uteri,0,127,33.2,19.1,3.5
24,C54,226,Corpus uteri,0,12,3.8,1.8,0.46
25,C56,226,Ovary,0,24,6.3,3.6,0.70
26,C60,226,Penis,0,0,0.00,0.00,0.00
27,C61,226,Prostate,0,90,31.9,10.8,4.0
28,C62,226,Testis,0,1,0.08,0.12,0.01
29,C64,226,Kidney,0,9,0.81,0.60,0.07
30,C67,226,Bladder,0,7,1.1,0.47,0.13
31,C70-72,226," Brain, central nervous system",0,8,0.66,0.53,0.06
32,C73,226,Thyroid,0,4,0.23,0.27,0.02
33,C81,226,Hodgkin lymphoma,0,5,0.30,0.33,0.02
34,C82-86+C88,226,Non-Hodgkin lymphoma,0,56,5.1,3.7,0.52
35,C90,226,Multiple myeloma,0,5,0.68,0.33,0.07
36,C91-95,226,Leukaemia,0,21,1.5,1.4,0.12
