Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,638,All cancers excl. non-melanoma skin cancer,0,3014,203.0,331.9,21.1
1,C00-06,638,"Lip, oral cavity",0,70,5.0,7.7,0.59
2,C07-08,638,Salivary glands,0,0,0.00,0.00,0.00
3,C09-10,638,Oropharynx,0,44,3.3,4.9,0.39
4,C11,638,Nasopharynx,0,4,0.28,0.44,0.04
5,C12-13,638,Hypopharynx,0,28,2.1,3.1,0.27
6,C15,638,Oesophagus,0,54,3.8,6.0,0.47
7,C16,638,Stomach,0,157,9.8,17.3,1.2
41,C18-C21,638,Colorectum,0,328,20.7,36.1,2.5
11,C22,638,Liver and intrahepatic bile ducts,0,107,6.6,11.8,0.80
12,C23,638,Gallbladder,0,24,1.4,2.6,0.18
13,C25,638,Pancreas,0,97,6.0,10.7,0.71
14,C32,638,Larynx,0,40,2.8,4.4,0.34
15,C33-34,638,"Trachea, bronchus and lung",0,347,21.8,38.2,2.7
16,C43,638,Melanoma of skin,0,39,3.1,4.3,0.33
18,C45,638,Mesothelioma,0,1,0.07,0.11,0.01
19,C46,638,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,638,Breast,0,382,55.9,81.5,5.9
21,C51,638,Vulva,0,9,0.99,1.9,0.13
22,C52,638,Vagina,0,0,0.00,0.00,0.00
23,C53,638,Cervix uteri,0,75,11.0,16.0,1.2
24,C54,638,Corpus uteri,0,45,5.6,9.6,0.71
25,C56,638,Ovary,0,41,5.5,8.8,0.62
26,C60,638,Penis,0,6,0.81,1.4,0.09
27,C61,638,Prostate,0,459,59.6,104.5,7.4
28,C62,638,Testis,0,10,2.4,2.3,0.18
29,C64,638,Kidney,0,55,3.8,6.1,0.45
30,C67,638,Bladder,0,82,4.8,9.0,0.58
31,C70-72,638," Brain, central nervous system",0,41,3.4,4.5,0.36
32,C73,638,Thyroid,0,39,3.3,4.3,0.34
33,C81,638,Hodgkin lymphoma,0,12,1.3,1.3,0.11
34,C82-86+C88,638,Non-Hodgkin lymphoma,0,81,5.6,8.9,0.61
35,C90,638,Multiple myeloma,0,44,2.7,4.9,0.32
36,C91-95,638,Leukaemia,0,89,6.8,9.8,0.63
