Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,324,All cancers excl. non-melanoma skin cancer,0,8558,113.5,61.7,11.5
1,C00-06,324,"Lip, oral cavity",0,83,1.1,0.60,0.11
2,C07-08,324,Salivary glands,0,12,0.14,0.09,0.02
3,C09-10,324,Oropharynx,0,10,0.13,0.07,0.01
4,C11,324,Nasopharynx,0,8,0.10,0.06,0.01
5,C12-13,324,Hypopharynx,0,7,0.09,0.05,0.01
6,C15,324,Oesophagus,0,39,0.55,0.28,0.06
7,C16,324,Stomach,0,327,4.7,2.4,0.53
41,C18-C21,324,Colorectum,0,201,2.8,1.5,0.30
11,C22,324,Liver and intrahepatic bile ducts,0,1575,21.3,11.4,2.4
12,C23,324,Gallbladder,0,7,0.07,0.05,0.01
13,C25,324,Pancreas,0,55,0.81,0.40,0.09
14,C32,324,Larynx,0,64,0.93,0.46,0.10
15,C33-34,324,"Trachea, bronchus and lung",0,241,3.2,1.7,0.35
16,C43,324,Melanoma of skin,0,62,0.98,0.45,0.11
18,C45,324,Mesothelioma,0,1,0.01,0.01,0.00
19,C46,324,Kaposi sarcoma,0,38,0.43,0.27,0.04
20,C50,324,Breast,0,717,16.0,10.1,1.7
21,C51,324,Vulva,0,16,0.40,0.22,0.04
22,C52,324,Vagina,0,22,0.46,0.31,0.05
23,C53,324,Cervix uteri,0,2551,55.0,35.8,5.6
24,C54,324,Corpus uteri,0,66,1.8,0.93,0.17
25,C56,324,Ovary,0,151,3.1,2.1,0.33
26,C60,324,Penis,0,5,0.09,0.07,0.01
27,C61,324,Prostate,0,749,34.0,11.1,3.7
28,C62,324,Testis,0,10,0.19,0.15,0.02
29,C64,324,Kidney,0,66,0.62,0.48,0.06
30,C67,324,Bladder,0,51,0.77,0.37,0.09
31,C70-72,324," Brain, central nervous system",0,221,3.7,1.6,0.40
32,C73,324,Thyroid,0,39,0.48,0.28,0.05
33,C81,324,Hodgkin lymphoma,0,72,0.58,0.52,0.05
34,C82-86+C88,324,Non-Hodgkin lymphoma,0,277,2.6,2.0,0.25
35,C90,324,Multiple myeloma,0,13,0.16,0.09,0.01
36,C91-95,324,Leukaemia,0,84,0.95,0.61,0.08
