Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,388,All cancers excl. non-melanoma skin cancer,0,7429,197.7,248.9,20.1
1,C00-06,388,"Lip, oral cavity",0,32,0.81,1.1,0.08
2,C07-08,388,Salivary glands,0,14,0.40,0.47,0.06
3,C09-10,388,Oropharynx,0,23,0.64,0.77,0.08
4,C11,388,Nasopharynx,0,25,0.68,0.84,0.07
5,C12-13,388,Hypopharynx,0,5,0.13,0.17,0.02
6,C15,388,Oesophagus,0,76,1.9,2.6,0.21
7,C16,388,Stomach,0,275,6.9,9.2,0.78
41,C18-C21,388,Colorectum,0,793,20.2,26.6,2.3
11,C22,388,Liver and intrahepatic bile ducts,0,110,2.9,3.7,0.31
12,C23,388,Gallbladder,0,42,1.1,1.4,0.12
13,C25,388,Pancreas,0,144,3.7,4.8,0.45
14,C32,388,Larynx,0,59,1.5,2.0,0.17
15,C33-34,388,"Trachea, bronchus and lung",0,545,14.0,18.3,1.7
16,C43,388,Melanoma of skin,0,14,0.36,0.47,0.04
18,C45,388,Mesothelioma,0,2,0.06,0.07,0.01
19,C46,388,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,388,Breast,0,1327,71.1,88.2,7.1
21,C51,388,Vulva,0,7,0.37,0.47,0.04
22,C52,388,Vagina,0,6,0.31,0.40,0.03
23,C53,388,Cervix uteri,0,376,20.4,25.0,2.0
24,C54,388,Corpus uteri,0,494,25.4,32.8,3.3
25,C56,388,Ovary,0,106,5.5,7.0,0.58
26,C60,388,Penis,0,19,0.96,1.3,0.11
27,C61,388,Prostate,0,1599,85.7,108.0,10.4
28,C62,388,Testis,0,5,0.29,0.34,0.03
29,C64,388,Kidney,0,42,1.3,1.4,0.12
30,C67,388,Bladder,0,125,3.0,4.2,0.34
31,C70-72,388," Brain, central nervous system",0,64,2.1,2.1,0.17
32,C73,388,Thyroid,0,109,3.1,3.7,0.37
33,C81,388,Hodgkin lymphoma,0,19,0.55,0.64,0.05
34,C82-86+C88,388,Non-Hodgkin lymphoma,0,238,6.9,8.0,0.67
35,C90,388,Multiple myeloma,0,147,3.8,4.9,0.46
36,C91-95,388,Leukaemia,0,175,5.1,5.9,0.46
