Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,430,All cancers excl. non-melanoma skin cancer,0,3796,113.0,71.6,11.7
1,C00-06,430,"Lip, oral cavity",0,39,1.2,0.74,0.13
2,C07-08,430,Salivary glands,0,8,0.23,0.15,0.02
3,C09-10,430,Oropharynx,0,4,0.11,0.08,0.01
4,C11,430,Nasopharynx,0,8,0.18,0.15,0.02
5,C12-13,430,Hypopharynx,0,1,0.03,0.02,0.00
6,C15,430,Oesophagus,0,19,0.59,0.36,0.07
7,C16,430,Stomach,0,140,4.5,2.6,0.52
41,C18-C21,430,Colorectum,0,142,4.5,2.7,0.52
11,C22,430,Liver and intrahepatic bile ducts,0,501,14.8,9.4,1.6
12,C23,430,Gallbladder,0,10,0.29,0.19,0.03
13,C25,430,Pancreas,0,42,1.4,0.79,0.17
14,C32,430,Larynx,0,27,0.87,0.51,0.10
15,C33-34,430,"Trachea, bronchus and lung",0,88,2.7,1.7,0.30
16,C43,430,Melanoma of skin,0,16,0.54,0.30,0.06
18,C45,430,Mesothelioma,0,1,0.04,0.02,0.01
19,C46,430,Kaposi sarcoma,0,28,0.73,0.53,0.07
20,C50,430,Breast,0,622,33.6,23.6,3.5
21,C51,430,Vulva,0,4,0.23,0.15,0.04
22,C52,430,Vagina,0,10,0.55,0.38,0.06
23,C53,430,Cervix uteri,0,717,39.6,27.2,4.1
24,C54,430,Corpus uteri,0,48,3.2,1.8,0.36
25,C56,430,Ovary,0,62,3.3,2.4,0.37
26,C60,430,Penis,0,1,0.03,0.04,0.00
27,C61,430,Prostate,0,470,38.6,17.6,4.5
28,C62,430,Testis,0,1,0.06,0.04,0.01
29,C64,430,Kidney,0,39,0.90,0.74,0.09
30,C67,430,Bladder,0,20,0.67,0.38,0.08
31,C70-72,430," Brain, central nervous system",0,68,2.4,1.3,0.24
32,C73,430,Thyroid,0,25,0.74,0.47,0.09
33,C81,430,Hodgkin lymphoma,0,25,0.49,0.47,0.04
34,C82-86+C88,430,Non-Hodgkin lymphoma,0,149,3.6,2.8,0.34
35,C90,430,Multiple myeloma,0,18,0.57,0.34,0.07
36,C91-95,430,Leukaemia,0,48,1.2,0.90,0.11
