Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,484,All cancers excl. non-melanoma skin cancer,0,198533,135.6,150.9,13.9
1,C00-06,484,"Lip, oral cavity",0,1560,1.0,1.2,0.12
2,C07-08,484,Salivary glands,0,577,0.38,0.44,0.04
3,C09-10,484,Oropharynx,0,415,0.27,0.32,0.03
4,C11,484,Nasopharynx,0,231,0.16,0.18,0.02
5,C12-13,484,Hypopharynx,0,154,0.10,0.12,0.01
6,C15,484,Oesophagus,0,1433,0.95,1.1,0.11
7,C16,484,Stomach,0,9516,6.3,7.2,0.72
41,C18-C21,484,Colorectum,0,16082,10.9,12.2,1.3
11,C22,484,Liver and intrahepatic bile ducts,0,8603,5.7,6.5,0.66
12,C23,484,Gallbladder,0,1292,0.87,0.98,0.10
13,C25,484,Pancreas,0,5822,3.9,4.4,0.46
14,C32,484,Larynx,0,1139,0.75,0.87,0.09
15,C33-34,484,"Trachea, bronchus and lung",0,8257,5.4,6.3,0.64
16,C43,484,Melanoma of skin,0,2198,1.5,1.7,0.16
18,C45,484,Mesothelioma,0,376,0.26,0.29,0.03
19,C46,484,Kaposi sarcoma,0,504,0.34,0.38,0.03
20,C50,484,Breast,0,31043,39.9,46.2,4.3
21,C51,484,Vulva,0,475,0.56,0.71,0.06
22,C52,484,Vagina,0,246,0.31,0.37,0.04
23,C53,484,Cervix uteri,0,10348,13.2,15.4,1.4
24,C54,484,Corpus uteri,0,5347,7.0,8.0,0.88
25,C56,484,Ovary,0,5193,6.7,7.7,0.72
26,C60,484,Penis,0,758,1.1,1.2,0.12
27,C61,484,Prostate,0,26565,39.1,41.3,4.8
28,C62,484,Testis,0,3580,5.1,5.6,0.38
29,C64,484,Kidney,0,6427,4.5,4.9,0.52
30,C67,484,Bladder,0,3814,2.5,2.9,0.29
31,C70-72,484," Brain, central nervous system",0,3529,2.6,2.7,0.24
32,C73,484,Thyroid,0,11392,7.9,8.7,0.79
33,C81,484,Hodgkin lymphoma,0,2341,1.6,1.8,0.15
34,C82-86+C88,484,Non-Hodgkin lymphoma,0,9000,6.2,6.8,0.68
35,C90,484,Multiple myeloma,0,2346,1.6,1.8,0.20
36,C91-95,484,Leukaemia,0,7457,5.7,5.7,0.46
