Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,554,All cancers excl. non-melanoma skin cancer,0,27551,299.9,562.5,29.3
1,C00-06,554,"Lip, oral cavity",0,359,4.0,7.3,0.46
2,C07-08,554,Salivary glands,0,37,0.42,0.76,0.05
3,C09-10,554,Oropharynx,0,98,1.3,2.0,0.15
4,C11,554,Nasopharynx,0,29,0.40,0.59,0.04
5,C12-13,554,Hypopharynx,0,30,0.30,0.61,0.04
6,C15,554,Oesophagus,0,396,3.6,8.1,0.42
7,C16,554,Stomach,0,497,5.0,10.2,0.56
41,C18-C21,554,Colorectum,0,4070,39.0,83.1,4.4
11,C22,554,Liver and intrahepatic bile ducts,0,382,4.0,7.8,0.47
12,C23,554,Gallbladder,0,73,0.66,1.5,0.08
13,C25,554,Pancreas,0,661,6.0,13.5,0.70
14,C32,554,Larynx,0,132,1.4,2.7,0.18
15,C33-34,554,"Trachea, bronchus and lung",0,2796,27.3,57.1,3.4
16,C43,554,Melanoma of skin,0,2739,29.8,55.9,3.4
18,C45,554,Mesothelioma,0,120,1.0,2.5,0.12
19,C46,554,Kaposi sarcoma,0,5,0.08,0.10,0.01
20,C50,554,Breast,0,3855,94.4,154.8,10.0
21,C51,554,Vulva,0,71,1.4,2.9,0.14
22,C52,554,Vagina,0,22,0.45,0.88,0.05
23,C53,554,Cervix uteri,0,149,4.9,6.0,0.44
24,C54,554,Corpus uteri,0,534,12.0,21.4,1.5
25,C56,554,Ovary,0,378,8.5,15.2,0.96
26,C60,554,Penis,0,17,0.35,0.71,0.04
27,C61,554,Prostate,0,3769,82.9,156.6,10.7
28,C62,554,Testis,0,177,7.2,7.4,0.56
29,C64,554,Kidney,0,671,7.7,13.7,0.89
30,C67,554,Bladder,0,662,5.8,13.5,0.65
31,C70-72,554," Brain, central nervous system",0,381,5.4,7.8,0.54
32,C73,554,Thyroid,0,436,6.7,8.9,0.66
33,C81,554,Hodgkin lymphoma,0,103,1.7,2.1,0.15
34,C82-86+C88,554,Non-Hodgkin lymphoma,0,951,10.3,19.4,1.2
35,C90,554,Multiple myeloma,0,410,3.9,8.4,0.46
36,C91-95,554,Leukaemia,0,823,9.6,16.8,0.93
