Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,578,All cancers excl. non-melanoma skin cancer,0,13323,91.5,241.7,8.8
1,C00-06,578,"Lip, oral cavity",0,99,0.72,1.8,0.08
2,C07-08,578,Salivary glands,0,17,0.10,0.31,0.01
3,C09-10,578,Oropharynx,0,36,0.33,0.65,0.04
4,C11,578,Nasopharynx,0,7,0.06,0.13,0.01
5,C12-13,578,Hypopharynx,0,11,0.09,0.20,0.01
6,C15,578,Oesophagus,0,292,2.3,5.3,0.27
7,C16,578,Stomach,0,323,2.3,5.9,0.25
41,C18-C21,578,Colorectum,0,2138,13.8,38.8,1.3
11,C22,578,Liver and intrahepatic bile ducts,0,432,3.2,7.8,0.36
12,C23,578,Gallbladder,0,33,0.21,0.60,0.02
13,C25,578,Pancreas,0,1046,7.4,19.0,0.82
14,C32,578,Larynx,0,43,0.31,0.78,0.04
15,C33-34,578,"Trachea, bronchus and lung",0,2497,17.6,45.3,2.0
16,C43,578,Melanoma of skin,0,353,2.6,6.4,0.26
18,C45,578,Mesothelioma,0,78,0.55,1.4,0.07
19,C46,578,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,578,Breast,0,774,11.1,28.4,1.1
21,C51,578,Vulva,0,45,0.48,1.7,0.04
22,C52,578,Vagina,0,3,0.02,0.11,0.00
23,C53,578,Cervix uteri,0,104,1.7,3.8,0.17
24,C54,578,Corpus uteri,0,200,2.6,7.4,0.29
25,C56,578,Ovary,0,331,4.7,12.2,0.55
26,C60,578,Penis,0,12,0.20,0.43,0.02
27,C61,578,Prostate,0,1116,13.9,40.0,0.86
28,C62,578,Testis,0,0,0.00,0.00,0.00
29,C64,578,Kidney,0,290,2.1,5.3,0.23
30,C67,578,Bladder,0,439,2.4,8.0,0.16
31,C70-72,578," Brain, central nervous system",0,388,4.1,7.0,0.45
32,C73,578,Thyroid,0,51,0.32,0.93,0.03
33,C81,578,Hodgkin lymphoma,0,24,0.15,0.44,0.02
34,C82-86+C88,578,Non-Hodgkin lymphoma,0,392,2.3,7.1,0.21
35,C90,578,Multiple myeloma,0,323,2.2,5.9,0.23
36,C91-95,578,Leukaemia,0,473,3.2,8.6,0.30
