Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,678,All cancers excl. non-melanoma skin cancer,0,143,104.2,62.8,11.9
1,C00-06,678,"Lip, oral cavity",0,0,0.00,0.00,0.00
2,C07-08,678,Salivary glands,0,0,0.00,0.00,0.00
3,C09-10,678,Oropharynx,0,0,0.00,0.00,0.00
4,C11,678,Nasopharynx,0,0,0.00,0.00,0.00
5,C12-13,678,Hypopharynx,0,0,0.00,0.00,0.00
6,C15,678,Oesophagus,0,2,1.6,0.88,0.18
7,C16,678,Stomach,0,16,11.1,7.0,1.3
41,C18-C21,678,Colorectum,0,8,6.3,3.5,0.78
11,C22,678,Liver and intrahepatic bile ducts,0,12,8.0,5.3,0.88
12,C23,678,Gallbladder,0,1,0.66,0.44,0.08
13,C25,678,Pancreas,0,3,2.3,1.3,0.24
14,C32,678,Larynx,0,2,1.6,0.88,0.18
15,C33-34,678,"Trachea, bronchus and lung",0,16,12.7,7.0,1.7
16,C43,678,Melanoma of skin,0,0,0.00,0.00,0.00
18,C45,678,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,678,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,678,Breast,0,16,19.9,14.1,2.3
21,C51,678,Vulva,0,0,0.00,0.00,0.00
22,C52,678,Vagina,0,0,0.00,0.00,0.00
23,C53,678,Cervix uteri,0,14,18.8,12.3,2.1
24,C54,678,Corpus uteri,0,2,2.9,1.8,0.36
25,C56,678,Ovary,0,5,6.7,4.4,0.70
26,C60,678,Penis,0,0,0.00,0.00,0.00
27,C61,678,Prostate,0,22,44.8,19.3,5.8
28,C62,678,Testis,0,0,0.00,0.00,0.00
29,C64,678,Kidney,0,1,0.37,0.44,0.02
30,C67,678,Bladder,0,7,5.6,3.1,0.82
31,C70-72,678," Brain, central nervous system",0,0,0.00,0.00,0.00
32,C73,678,Thyroid,0,0,0.00,0.00,0.00
33,C81,678,Hodgkin lymphoma,0,0,0.00,0.00,0.00
34,C82-86+C88,678,Non-Hodgkin lymphoma,0,0,0.00,0.00,0.00
35,C90,678,Multiple myeloma,0,0,0.00,0.00,0.00
36,C91-95,678,Leukaemia,0,1,0.39,0.44,0.02
