Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,710,All cancers excl. non-melanoma skin cancer,0,100897,183.6,166.1,18.8
1,C00-06,710,"Lip, oral cavity",0,1654,3.1,2.7,0.38
2,C07-08,710,Salivary glands,0,297,0.54,0.49,0.06
3,C09-10,710,Oropharynx,0,464,0.86,0.76,0.10
4,C11,710,Nasopharynx,0,161,0.28,0.26,0.03
5,C12-13,710,Hypopharynx,0,181,0.35,0.30,0.04
6,C15,710,Oesophagus,0,3312,6.4,5.5,0.75
7,C16,710,Stomach,0,1919,3.6,3.2,0.40
41,C18-C21,710,Colorectum,0,7338,13.5,12.1,1.6
11,C22,710,Liver and intrahepatic bile ducts,0,2650,4.9,4.4,0.54
12,C23,710,Gallbladder,0,359,0.66,0.59,0.07
13,C25,710,Pancreas,0,2779,5.3,4.6,0.61
14,C32,710,Larynx,0,991,1.9,1.6,0.24
15,C33-34,710,"Trachea, bronchus and lung",0,9446,18.1,15.6,2.2
16,C43,710,Melanoma of skin,0,2231,4.1,3.7,0.45
18,C45,710,Mesothelioma,0,313,0.60,0.52,0.07
19,C46,710,Kaposi sarcoma,0,4119,6.0,6.8,0.51
20,C50,710,Breast,0,14712,47.8,47.7,5.2
21,C51,710,Vulva,0,672,2.0,2.2,0.19
22,C52,710,Vagina,0,230,0.74,0.75,0.08
23,C53,710,Cervix uteri,0,10532,33.2,34.1,3.5
24,C54,710,Corpus uteri,0,1839,6.2,6.0,0.76
25,C56,710,Ovary,0,1558,5.1,5.1,0.57
26,C60,710,Penis,0,360,1.4,1.2,0.15
27,C61,710,Prostate,0,12903,62.0,43.2,7.4
28,C62,710,Testis,0,225,0.70,0.75,0.06
29,C64,710,Kidney,0,1380,2.6,2.3,0.27
30,C67,710,Bladder,0,2148,4.1,3.5,0.45
31,C70-72,710," Brain, central nervous system",0,836,1.5,1.4,0.15
32,C73,710,Thyroid,0,1298,2.2,2.1,0.23
33,C81,710,Hodgkin lymphoma,0,694,1.1,1.1,0.09
34,C82-86+C88,710,Non-Hodgkin lymphoma,0,3259,5.6,5.4,0.58
35,C90,710,Multiple myeloma,0,1212,2.3,2.0,0.23
36,C91-95,710,Leukaemia,0,2022,3.6,3.3,0.32
