Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,740,All cancers excl. non-melanoma skin cancer,0,1103,167.0,184.8,17.2
1,C00-06,740,"Lip, oral cavity",0,11,1.7,1.8,0.22
2,C07-08,740,Salivary glands,0,0,0.00,0.00,0.00
3,C09-10,740,Oropharynx,0,2,0.29,0.34,0.01
4,C11,740,Nasopharynx,0,6,0.87,1.0,0.09
5,C12-13,740,Hypopharynx,0,0,0.00,0.00,0.00
6,C15,740,Oesophagus,0,3,0.43,0.50,0.05
7,C16,740,Stomach,0,32,4.6,5.4,0.47
41,C18-C21,740,Colorectum,0,125,18.7,20.9,2.3
11,C22,740,Liver and intrahepatic bile ducts,0,46,6.9,7.7,0.70
12,C23,740,Gallbladder,0,5,0.78,0.84,0.11
13,C25,740,Pancreas,0,26,3.8,4.4,0.42
14,C32,740,Larynx,0,6,0.83,1.0,0.06
15,C33-34,740,"Trachea, bronchus and lung",0,113,16.6,18.9,1.8
16,C43,740,Melanoma of skin,0,4,0.56,0.67,0.03
18,C45,740,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,740,Kaposi sarcoma,0,2,0.27,0.34,0.01
20,C50,740,Breast,0,158,46.4,53.2,5.2
21,C51,740,Vulva,0,4,1.2,1.4,0.14
22,C52,740,Vagina,0,1,0.21,0.34,0.00
23,C53,740,Cervix uteri,0,81,24.2,27.3,2.6
24,C54,740,Corpus uteri,0,14,4.1,4.7,0.47
25,C56,740,Ovary,0,20,5.5,6.7,0.62
26,C60,740,Penis,0,4,1.4,1.3,0.21
27,C61,740,Prostate,0,213,75.2,71.1,8.9
28,C62,740,Testis,0,5,1.5,1.7,0.13
29,C64,740,Kidney,0,9,1.3,1.5,0.10
30,C67,740,Bladder,0,13,2.0,2.2,0.22
31,C70-72,740," Brain, central nervous system",0,18,2.8,3.0,0.26
32,C73,740,Thyroid,0,22,3.4,3.7,0.33
33,C81,740,Hodgkin lymphoma,0,2,0.34,0.34,0.02
34,C82-86+C88,740,Non-Hodgkin lymphoma,0,37,5.6,6.2,0.58
35,C90,740,Multiple myeloma,0,8,1.2,1.3,0.14
36,C91-95,740,Leukaemia,0,47,7.4,7.9,0.72
