Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,894,All cancers excl. non-melanoma skin cancer,0,15037,156.9,77.2,16.0
1,C00-06,894,"Lip, oral cavity",0,124,1.4,0.64,0.15
2,C07-08,894,Salivary glands,0,71,0.79,0.36,0.09
3,C09-10,894,Oropharynx,0,23,0.28,0.12,0.03
4,C11,894,Nasopharynx,0,52,0.51,0.27,0.06
5,C12-13,894,Hypopharynx,0,4,0.05,0.02,0.01
6,C15,894,Oesophagus,0,534,6.6,2.7,0.74
7,C16,894,Stomach,0,305,3.9,1.6,0.44
41,C18-C21,894,Colorectum,0,455,5.1,2.3,0.59
11,C22,894,Liver and intrahepatic bile ducts,0,422,4.7,2.2,0.53
12,C23,894,Gallbladder,0,18,0.22,0.09,0.03
13,C25,894,Pancreas,0,109,1.4,0.56,0.16
14,C32,894,Larynx,0,95,1.1,0.49,0.14
15,C33-34,894,"Trachea, bronchus and lung",0,231,3.0,1.2,0.34
16,C43,894,Melanoma of skin,0,56,0.67,0.29,0.08
18,C45,894,Mesothelioma,0,4,0.03,0.02,0.00
19,C46,894,Kaposi sarcoma,0,2427,15.7,12.5,1.4
20,C50,894,Breast,0,1111,22.3,11.3,2.5
21,C51,894,Vulva,0,106,1.7,1.1,0.18
22,C52,894,Vagina,0,46,0.97,0.47,0.12
23,C53,894,Cervix uteri,0,3640,71.5,37.0,7.7
24,C54,894,Corpus uteri,0,53,1.3,0.54,0.17
25,C56,894,Ovary,0,200,3.6,2.0,0.41
26,C60,894,Penis,0,133,3.0,1.4,0.35
27,C61,894,Prostate,0,1642,65.4,17.0,7.3
28,C62,894,Testis,0,18,0.26,0.19,0.02
29,C64,894,Kidney,0,116,0.71,0.60,0.06
30,C67,894,Bladder,0,252,3.4,1.3,0.39
31,C70-72,894," Brain, central nervous system",0,241,2.0,1.2,0.20
32,C73,894,Thyroid,0,65,0.84,0.33,0.10
33,C81,894,Hodgkin lymphoma,0,107,0.89,0.55,0.09
34,C82-86+C88,894,Non-Hodgkin lymphoma,0,407,3.5,2.1,0.35
35,C90,894,Multiple myeloma,0,41,0.38,0.21,0.04
36,C91-95,894,Leukaemia,0,233,1.6,1.2,0.13
