Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,716,All cancers excl. non-melanoma skin cancer,0,17312,203.1,112.9,20.7
1,C00-06,716,"Lip, oral cavity",0,113,1.4,0.74,0.17
2,C07-08,716,Salivary glands,0,48,0.53,0.31,0.06
3,C09-10,716,Oropharynx,0,21,0.25,0.14,0.03
4,C11,716,Nasopharynx,0,55,0.53,0.36,0.06
5,C12-13,716,Hypopharynx,0,9,0.12,0.06,0.02
6,C15,716,Oesophagus,0,890,12.0,5.8,1.5
7,C16,716,Stomach,0,751,10.3,4.9,1.2
41,C18-C21,716,Colorectum,0,773,9.7,5.0,1.2
11,C22,716,Liver and intrahepatic bile ducts,0,640,7.7,4.2,0.88
12,C23,716,Gallbladder,0,49,0.65,0.32,0.07
13,C25,716,Pancreas,0,200,2.7,1.3,0.31
14,C32,716,Larynx,0,89,1.2,0.58,0.16
15,C33-34,716,"Trachea, bronchus and lung",0,431,5.9,2.8,0.71
16,C43,716,Melanoma of skin,0,163,2.2,1.1,0.26
18,C45,716,Mesothelioma,0,5,0.07,0.03,0.01
19,C46,716,Kaposi sarcoma,0,1101,9.5,7.2,0.89
20,C50,716,Breast,0,1807,35.8,22.6,4.0
21,C51,716,Vulva,0,147,2.5,1.8,0.25
22,C52,716,Vagina,0,46,0.85,0.57,0.08
23,C53,716,Cervix uteri,0,3520,68.2,44.0,7.4
24,C54,716,Corpus uteri,0,339,7.7,4.2,0.94
25,C56,716,Ovary,0,321,6.5,4.0,0.74
26,C60,716,Penis,0,112,3.0,1.5,0.33
27,C61,716,Prostate,0,1707,68.3,23.3,7.6
28,C62,716,Testis,0,11,0.20,0.15,0.02
29,C64,716,Kidney,0,154,1.5,1.0,0.16
30,C67,716,Bladder,0,199,2.7,1.3,0.32
31,C70-72,716," Brain, central nervous system",0,231,2.2,1.5,0.22
32,C73,716,Thyroid,0,158,2.1,1.0,0.24
33,C81,716,Hodgkin lymphoma,0,98,0.77,0.64,0.07
34,C82-86+C88,716,Non-Hodgkin lymphoma,0,1070,10.3,7.0,1.1
35,C90,716,Multiple myeloma,0,260,3.5,1.7,0.45
36,C91-95,716,Leukaemia,0,289,2.7,1.9,0.26
