Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,4,All cancers excl. non-melanoma skin cancer,0,23750,103.5,58.3,10.9
1,C00-06,4,"Lip, oral cavity",0,1011,4.6,2.5,0.53
2,C07-08,4,Salivary glands,0,62,0.27,0.15,0.03
3,C09-10,4,Oropharynx,0,143,0.69,0.35,0.08
4,C11,4,Nasopharynx,0,127,0.42,0.31,0.04
5,C12-13,4,Hypopharynx,0,141,0.64,0.35,0.07
6,C15,4,Oesophagus,0,925,4.8,2.3,0.56
7,C16,4,Stomach,0,2077,11.0,5.1,1.3
41,C18-C21,4,Colorectum,0,1163,5.6,2.9,0.65
11,C22,4,Liver and intrahepatic bile ducts,0,900,4.6,2.2,0.54
12,C23,4,Gallbladder,0,148,0.81,0.36,0.10
13,C25,4,Pancreas,0,369,1.9,0.91,0.22
14,C32,4,Larynx,0,244,1.2,0.60,0.14
15,C33-34,4,"Trachea, bronchus and lung",0,1393,7.2,3.4,0.90
16,C43,4,Melanoma of skin,0,103,0.49,0.25,0.05
18,C45,4,Mesothelioma,0,16,0.07,0.04,0.01
19,C46,4,Kaposi sarcoma,0,26,0.10,0.06,0.01
20,C50,4,Breast,0,3545,29.4,17.9,3.1
21,C51,4,Vulva,0,38,0.37,0.19,0.04
22,C52,4,Vagina,0,20,0.18,0.10,0.02
23,C53,4,Cervix uteri,0,1218,10.3,6.1,1.1
24,C54,4,Corpus uteri,0,505,5.0,2.5,0.65
25,C56,4,Ovary,0,512,4.2,2.6,0.45
26,C60,4,Penis,0,12,0.10,0.06,0.01
27,C61,4,Prostate,0,521,6.5,2.5,0.81
28,C62,4,Testis,0,178,0.93,0.85,0.07
29,C64,4,Kidney,0,571,2.4,1.4,0.26
30,C67,4,Bladder,0,459,2.4,1.1,0.28
31,C70-72,4," Brain, central nervous system",0,1134,3.8,2.8,0.37
32,C73,4,Thyroid,0,275,1.0,0.67,0.11
33,C81,4,Hodgkin lymphoma,0,258,0.73,0.63,0.07
34,C82-86+C88,4,Non-Hodgkin lymphoma,0,618,2.2,1.5,0.23
35,C90,4,Multiple myeloma,0,123,0.62,0.30,0.07
36,C91-95,4,Leukaemia,0,1178,3.3,2.9,0.28
