Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,12,All cancers excl. non-melanoma skin cancer,0,63306,138.2,139.6,14.3
1,C00-06,12,"Lip, oral cavity",0,343,0.75,0.76,0.09
2,C07-08,12,Salivary glands,0,152,0.33,0.34,0.03
3,C09-10,12,Oropharynx,0,90,0.19,0.20,0.02
4,C11,12,Nasopharynx,0,1608,3.5,3.6,0.37
5,C12-13,12,Hypopharynx,0,77,0.17,0.17,0.02
6,C15,12,Oesophagus,0,285,0.61,0.63,0.06
7,C16,12,Stomach,0,2785,6.1,6.1,0.72
41,C18-C21,12,Colorectum,0,7747,17.1,17.1,2.0
11,C22,12,Liver and intrahepatic bile ducts,0,755,1.7,1.7,0.19
12,C23,12,Gallbladder,0,1193,2.7,2.6,0.32
13,C25,12,Pancreas,0,1168,2.6,2.6,0.30
14,C32,12,Larynx,0,961,2.2,2.1,0.28
15,C33-34,12,"Trachea, bronchus and lung",0,5040,11.3,11.1,1.4
16,C43,12,Melanoma of skin,0,306,0.66,0.67,0.07
18,C45,12,Mesothelioma,0,69,0.15,0.15,0.02
19,C46,12,Kaposi sarcoma,0,62,0.13,0.14,0.01
20,C50,12,Breast,0,14601,61.9,65.1,6.3
21,C51,12,Vulva,0,97,0.41,0.43,0.05
22,C52,12,Vagina,0,49,0.21,0.22,0.02
23,C53,12,Cervix uteri,0,1799,8.0,8.0,0.94
24,C54,12,Corpus uteri,0,593,2.7,2.6,0.33
25,C56,12,Ovary,0,1147,5.0,5.1,0.57
26,C60,12,Penis,0,6,0.03,0.03,0.00
27,C61,12,Prostate,0,3514,15.5,15.3,1.9
28,C62,12,Testis,0,163,0.68,0.71,0.06
29,C64,12,Kidney,0,729,1.6,1.6,0.18
30,C67,12,Bladder,0,3240,7.2,7.1,0.90
31,C70-72,12," Brain, central nervous system",0,2038,4.5,4.5,0.44
32,C73,12,Thyroid,0,2519,5.4,5.6,0.55
33,C81,12,Hodgkin lymphoma,0,999,2.2,2.2,0.18
34,C82-86+C88,12,Non-Hodgkin lymphoma,0,2226,4.9,4.9,0.51
35,C90,12,Multiple myeloma,0,770,1.7,1.7,0.21
36,C91-95,12,Leukaemia,0,1731,3.8,3.8,0.34
