Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,24,All cancers excl. non-melanoma skin cancer,0,24085,131.2,68.8,13.8
1,C00-06,24,"Lip, oral cavity",0,577,3.4,1.7,0.41
2,C07-08,24,Salivary glands,0,147,0.85,0.42,0.09
3,C09-10,24,Oropharynx,0,245,1.5,0.70,0.18
4,C11,24,Nasopharynx,0,81,0.30,0.23,0.03
5,C12-13,24,Hypopharynx,0,5,0.05,0.01,0.01
6,C15,24,Oesophagus,0,944,6.4,2.7,0.86
7,C16,24,Stomach,0,676,4.5,1.9,0.55
41,C18-C21,24,Colorectum,0,805,4.6,2.3,0.50
11,C22,24,Liver and intrahepatic bile ducts,0,1137,6.6,3.3,0.74
12,C23,24,Gallbladder,0,26,0.18,0.07,0.02
13,C25,24,Pancreas,0,283,1.6,0.81,0.19
14,C32,24,Larynx,0,321,2.2,0.92,0.30
15,C33-34,24,"Trachea, bronchus and lung",0,338,2.4,0.96,0.34
16,C43,24,Melanoma of skin,0,191,1.3,0.55,0.15
18,C45,24,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,24,Kaposi sarcoma,0,674,2.8,1.9,0.25
20,C50,24,Breast,0,2898,29.4,16.4,3.3
21,C51,24,Vulva,0,89,0.91,0.50,0.14
22,C52,24,Vagina,0,82,0.65,0.46,0.05
23,C53,24,Cervix uteri,0,2823,30.4,16.0,3.3
24,C54,24,Corpus uteri,0,358,4.4,2.0,0.54
25,C56,24,Ovary,0,415,2.9,2.4,0.25
26,C60,24,Penis,0,62,1.1,0.36,0.16
27,C61,24,Prostate,0,2618,47.9,15.1,5.7
28,C62,24,Testis,0,120,0.68,0.69,0.06
29,C64,24,Kidney,0,566,1.9,1.6,0.11
30,C67,24,Bladder,0,491,2.9,1.4,0.30
31,C70-72,24," Brain, central nervous system",0,1074,3.7,3.1,0.36
32,C73,24,Thyroid,0,110,0.73,0.31,0.10
33,C81,24,Hodgkin lymphoma,0,143,0.58,0.41,0.04
34,C82-86+C88,24,Non-Hodgkin lymphoma,0,792,2.8,2.3,0.23
35,C90,24,Multiple myeloma,0,133,0.91,0.38,0.10
36,C91-95,24,Leukaemia,0,523,2.0,1.5,0.21
