Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,51,All cancers excl. non-melanoma skin cancer,0,9397,199.1,316.2,21.2
1,C00-06,51,"Lip, oral cavity",0,71,1.6,2.4,0.20
2,C07-08,51,Salivary glands,0,19,0.41,0.64,0.04
3,C09-10,51,Oropharynx,0,6,0.12,0.20,0.01
4,C11,51,Nasopharynx,0,13,0.33,0.44,0.03
5,C12-13,51,Hypopharynx,0,11,0.22,0.37,0.03
6,C15,51,Oesophagus,0,59,1.2,2.0,0.15
7,C16,51,Stomach,0,612,12.1,20.6,1.4
41,C18-C21,51,Colorectum,0,1127,22.0,37.9,2.7
11,C22,51,Liver and intrahepatic bile ducts,0,539,10.7,18.1,1.2
12,C23,51,Gallbladder,0,54,1.0,1.8,0.12
13,C25,51,Pancreas,0,468,9.3,15.8,1.1
14,C32,51,Larynx,0,138,2.9,4.6,0.37
15,C33-34,51,"Trachea, bronchus and lung",0,1428,29.0,48.1,3.5
16,C43,51,Melanoma of skin,0,79,1.8,2.7,0.19
18,C45,51,Mesothelioma,0,23,0.47,0.77,0.05
19,C46,51,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,51,Breast,0,1013,39.6,64.4,4.6
21,C51,51,Vulva,0,17,0.48,1.1,0.04
22,C52,51,Vagina,0,8,0.28,0.51,0.04
23,C53,51,Cervix uteri,0,156,6.8,9.9,0.72
24,C54,51,Corpus uteri,0,370,14.4,23.5,1.8
25,C56,51,Ovary,0,130,5.0,8.3,0.57
26,C60,51,Penis,0,7,0.33,0.50,0.03
27,C61,51,Prostate,0,763,37.2,54.6,5.1
28,C62,51,Testis,0,42,2.9,3.0,0.23
29,C64,51,Kidney,0,209,4.4,7.0,0.52
30,C67,51,Bladder,0,368,7.0,12.4,0.85
31,C70-72,51," Brain, central nervous system",0,270,6.8,9.1,0.69
32,C73,51,Thyroid,0,180,3.8,6.1,0.48
33,C81,51,Hodgkin lymphoma,0,51,1.7,1.7,0.13
34,C82-86+C88,51,Non-Hodgkin lymphoma,0,120,3.0,4.0,0.33
35,C90,51,Multiple myeloma,0,36,0.78,1.2,0.11
36,C91-95,51,Leukaemia,0,169,4.4,5.7,0.44
