Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,48,All cancers excl. non-melanoma skin cancer,0,1373,113.1,77.0,11.9
1,C00-06,48,"Lip, oral cavity",0,27,1.9,1.5,0.27
2,C07-08,48,Salivary glands,0,1,0.04,0.06,0.00
3,C09-10,48,Oropharynx,0,1,0.06,0.06,0.01
4,C11,48,Nasopharynx,0,7,0.53,0.39,0.06
5,C12-13,48,Hypopharynx,0,0,0.00,0.00,0.00
6,C15,48,Oesophagus,0,12,1.2,0.67,0.15
7,C16,48,Stomach,0,38,3.3,2.1,0.35
41,C18-C21,48,Colorectum,0,157,13.5,8.8,1.6
11,C22,48,Liver and intrahepatic bile ducts,0,33,2.7,1.9,0.28
12,C23,48,Gallbladder,0,7,0.48,0.39,0.06
13,C25,48,Pancreas,0,28,2.8,1.6,0.35
14,C32,48,Larynx,0,13,1.3,0.73,0.14
15,C33-34,48,"Trachea, bronchus and lung",0,89,10.1,5.0,0.89
16,C43,48,Melanoma of skin,0,2,0.16,0.11,0.02
18,C45,48,Mesothelioma,0,6,0.76,0.34,0.08
19,C46,48,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,48,Breast,0,324,58.5,51.7,6.5
21,C51,48,Vulva,0,1,0.15,0.16,0.02
22,C52,48,Vagina,0,0,0.00,0.00,0.00
23,C53,48,Cervix uteri,0,18,2.7,2.9,0.29
24,C54,48,Corpus uteri,0,45,8.2,7.2,1.1
25,C56,48,Ovary,0,29,5.1,4.6,0.51
26,C60,48,Penis,0,0,0.00,0.00,0.00
27,C61,48,Prostate,0,74,13.4,6.4,1.8
28,C62,48,Testis,0,7,0.45,0.60,0.05
29,C64,48,Kidney,0,32,2.3,1.8,0.29
30,C67,48,Bladder,0,65,7.3,3.6,0.74
31,C70-72,48," Brain, central nervous system",0,31,2.1,1.7,0.25
32,C73,48,Thyroid,0,40,2.7,2.2,0.33
33,C81,48,Hodgkin lymphoma,0,14,0.75,0.78,0.07
34,C82-86+C88,48,Non-Hodgkin lymphoma,0,91,7.2,5.1,0.79
35,C90,48,Multiple myeloma,0,15,1.2,0.84,0.11
36,C91-95,48,Leukaemia,0,68,5.2,3.8,0.42
