Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,50,All cancers excl. non-melanoma skin cancer,0,166093,104.9,98.9,11.2
1,C00-06,50,"Lip, oral cavity",0,16083,10.3,9.6,1.2
2,C07-08,50,Salivary glands,0,851,0.53,0.51,0.06
3,C09-10,50,Oropharynx,0,4438,2.8,2.6,0.33
4,C11,50,Nasopharynx,0,970,0.61,0.58,0.07
5,C12-13,50,Hypopharynx,0,8491,5.5,5.1,0.65
6,C15,50,Oesophagus,0,25232,16.0,15.0,1.8
7,C16,50,Stomach,0,8365,5.5,5.0,0.65
41,C18-C21,50,Colorectum,0,5723,3.6,3.4,0.40
11,C22,50,Liver and intrahepatic bile ducts,0,3228,2.1,1.9,0.24
12,C23,50,Gallbladder,0,8380,5.3,5.0,0.58
13,C25,50,Pancreas,0,1377,0.88,0.82,0.10
14,C32,50,Larynx,0,5975,3.9,3.6,0.46
15,C33-34,50,"Trachea, bronchus and lung",0,13000,8.8,7.7,1.1
16,C43,50,Melanoma of skin,0,430,0.28,0.26,0.03
18,C45,50,Mesothelioma,0,9,0.01,0.01,0.00
19,C46,50,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,50,Breast,0,12989,15.2,15.6,1.6
21,C51,50,Vulva,0,287,0.37,0.35,0.04
22,C52,50,Vagina,0,238,0.31,0.29,0.03
23,C53,50,Cervix uteri,0,9640,11.3,11.6,1.2
24,C54,50,Corpus uteri,0,995,1.2,1.2,0.13
25,C56,50,Ovary,0,2846,3.3,3.4,0.33
26,C60,50,Penis,0,684,0.83,0.81,0.09
27,C61,50,Prostate,0,2335,3.2,2.8,0.40
28,C62,50,Testis,0,404,0.43,0.48,0.03
29,C64,50,Kidney,0,1440,0.95,0.86,0.10
30,C67,50,Bladder,0,1633,1.1,0.97,0.13
31,C70-72,50," Brain, central nervous system",0,1341,0.81,0.80,0.08
32,C73,50,Thyroid,0,1671,0.99,1.0,0.10
33,C81,50,Hodgkin lymphoma,0,522,0.31,0.31,0.03
34,C82-86+C88,50,Non-Hodgkin lymphoma,0,3096,2.0,1.8,0.22
35,C90,50,Multiple myeloma,0,780,0.50,0.46,0.06
36,C91-95,50,Leukaemia,0,2948,1.8,1.8,0.17
