Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,112,All cancers excl. non-melanoma skin cancer,0,45019,266.9,477.3,28.1
1,C00-06,112,"Lip, oral cavity",0,908,5.6,9.6,0.67
2,C07-08,112,Salivary glands,0,121,0.78,1.3,0.09
3,C09-10,112,Oropharynx,0,478,3.1,5.1,0.38
4,C11,112,Nasopharynx,0,30,0.19,0.32,0.02
5,C12-13,112,Hypopharynx,0,380,2.4,4.0,0.30
6,C15,112,Oesophagus,0,584,3.5,6.2,0.45
7,C16,112,Stomach,0,2804,15.3,29.7,2.0
41,C18-C21,112,Colorectum,0,6160,32.7,65.3,4.2
11,C22,112,Liver and intrahepatic bile ducts,0,607,3.4,6.4,0.42
12,C23,112,Gallbladder,0,163,0.75,1.7,0.09
13,C25,112,Pancreas,0,1354,7.2,14.4,0.90
14,C32,112,Larynx,0,705,4.3,7.5,0.55
15,C33-34,112,"Trachea, bronchus and lung",0,4599,26.0,48.8,3.5
16,C43,112,Melanoma of skin,0,1103,6.9,11.7,0.78
18,C45,112,Mesothelioma,0,45,0.25,0.48,0.03
19,C46,112,Kaposi sarcoma,0,27,0.15,0.29,0.02
20,C50,112,Breast,0,5216,56.9,103.5,6.4
21,C51,112,Vulva,0,169,1.3,3.4,0.15
22,C52,112,Vagina,0,24,0.24,0.48,0.03
23,C53,112,Cervix uteri,0,668,9.3,13.3,0.91
24,C54,112,Corpus uteri,0,2295,24.3,45.6,3.0
25,C56,112,Ovary,0,746,9.2,14.8,1.0
26,C60,112,Penis,0,60,0.86,1.4,0.10
27,C61,112,Prostate,0,4972,68.2,113.1,9.2
28,C62,112,Testis,0,138,2.7,3.1,0.23
29,C64,112,Kidney,0,2276,14.1,24.1,1.7
30,C67,112,Bladder,0,1464,7.9,15.5,1.0
31,C70-72,112," Brain, central nervous system",0,651,5.1,6.9,0.51
32,C73,112,Thyroid,0,1109,9.0,11.8,0.86
33,C81,112,Hodgkin lymphoma,0,238,2.5,2.5,0.19
34,C82-86+C88,112,Non-Hodgkin lymphoma,0,1023,6.4,10.9,0.72
35,C90,112,Multiple myeloma,0,385,2.1,4.1,0.28
36,C91-95,112,Leukaemia,0,1219,8.2,12.9,0.85
