Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,56,All cancers excl. non-melanoma skin cancer,0,72680,301.7,622.9,29.8
1,C00-06,56,"Lip, oral cavity",0,1100,4.7,9.4,0.59
2,C07-08,56,Salivary glands,0,142,0.65,1.2,0.07
3,C09-10,56,Oropharynx,0,526,2.4,4.5,0.31
4,C11,56,Nasopharynx,0,70,0.43,0.60,0.04
5,C12-13,56,Hypopharynx,0,257,1.1,2.2,0.15
6,C15,56,Oesophagus,0,1145,4.5,9.8,0.58
7,C16,56,Stomach,0,1438,5.4,12.3,0.63
41,C18-C21,56,Colorectum,0,7949,29.2,68.1,3.4
11,C22,56,Liver and intrahepatic bile ducts,0,1330,4.8,11.4,0.59
12,C23,56,Gallbladder,0,84,0.28,0.72,0.03
13,C25,56,Pancreas,0,2338,7.5,20.0,0.81
14,C32,56,Larynx,0,463,1.9,4.0,0.25
15,C33-34,56,"Trachea, bronchus and lung",0,8636,32.7,74.0,4.2
16,C43,56,Melanoma of skin,0,4163,21.1,35.7,2.3
18,C45,56,Mesothelioma,0,334,1.1,2.9,0.14
19,C46,56,Kaposi sarcoma,0,51,0.25,0.44,0.03
20,C50,56,Breast,0,11366,105.2,193.4,11.1
21,C51,56,Vulva,0,265,1.9,4.5,0.21
22,C52,56,Vagina,0,53,0.44,0.90,0.05
23,C53,56,Cervix uteri,0,531,6.3,9.0,0.62
24,C54,56,Corpus uteri,0,1396,10.0,23.8,1.3
25,C56,56,Ovary,0,830,6.9,14.1,0.81
26,C60,56,Penis,0,95,0.75,1.6,0.09
27,C61,56,Prostate,0,10523,81.7,181.7,10.3
28,C62,56,Testis,0,362,6.4,6.3,0.48
29,C64,56,Kidney,0,1924,8.2,16.5,0.96
30,C67,56,Bladder,0,3821,12.9,32.8,1.6
31,C70-72,56," Brain, central nervous system",0,876,5.0,7.5,0.49
32,C73,56,Thyroid,0,1093,6.9,9.4,0.67
33,C81,56,Hodgkin lymphoma,0,381,3.0,3.3,0.24
34,C82-86+C88,56,Non-Hodgkin lymphoma,0,2653,10.7,22.7,1.2
35,C90,56,Multiple myeloma,0,1013,3.7,8.7,0.46
36,C91-95,56,Leukaemia,0,2222,10.5,19.0,1.1
