Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,64,All cancers excl. non-melanoma skin cancer,0,630,86.5,80.0,9.8
1,C00-06,64,"Lip, oral cavity",0,22,3.1,2.8,0.40
2,C07-08,64,Salivary glands,0,0,0.00,0.00,0.00
3,C09-10,64,Oropharynx,0,10,1.6,1.3,0.24
4,C11,64,Nasopharynx,0,12,1.7,1.5,0.21
5,C12-13,64,Hypopharynx,0,14,2.0,1.8,0.25
6,C15,64,Oesophagus,0,46,6.5,5.8,0.79
7,C16,64,Stomach,0,115,15.9,14.6,1.9
41,C18-C21,64,Colorectum,0,30,4.2,3.8,0.50
11,C22,64,Liver and intrahepatic bile ducts,0,33,4.5,4.2,0.54
12,C23,64,Gallbladder,0,13,1.9,1.7,0.25
13,C25,64,Pancreas,0,14,2.0,1.8,0.27
14,C32,64,Larynx,0,14,1.9,1.8,0.23
15,C33-34,64,"Trachea, bronchus and lung",0,51,7.0,6.5,0.87
16,C43,64,Melanoma of skin,0,0,0.00,0.00,0.00
18,C45,64,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,64,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,64,Breast,0,16,4.6,4.3,0.50
21,C51,64,Vulva,0,0,0.00,0.00,0.00
22,C52,64,Vagina,0,0,0.00,0.00,0.00
23,C53,64,Cervix uteri,0,49,13.6,13.3,1.4
24,C54,64,Corpus uteri,0,4,1.3,1.1,0.14
25,C56,64,Ovary,0,20,5.6,5.4,0.61
26,C60,64,Penis,0,4,1.2,0.95,0.15
27,C61,64,Prostate,0,5,1.1,1.2,0.12
28,C62,64,Testis,0,0,0.00,0.00,0.00
29,C64,64,Kidney,0,2,0.32,0.25,0.04
30,C67,64,Bladder,0,4,0.51,0.51,0.07
31,C70-72,64," Brain, central nervous system",0,14,1.9,1.8,0.22
32,C73,64,Thyroid,0,6,0.84,0.76,0.09
33,C81,64,Hodgkin lymphoma,0,0,0.00,0.00,0.00
34,C82-86+C88,64,Non-Hodgkin lymphoma,0,9,1.4,1.1,0.19
35,C90,64,Multiple myeloma,0,2,0.32,0.25,0.05
36,C91-95,64,Leukaemia,0,20,2.6,2.5,0.21
