Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,68,All cancers excl. non-melanoma skin cancer,0,16811,138.7,140.2,14.2
1,C00-06,68,"Lip, oral cavity",0,71,0.59,0.59,0.10
2,C07-08,68,Salivary glands,0,86,0.67,0.72,0.06
3,C09-10,68,Oropharynx,0,83,0.74,0.69,0.08
4,C11,68,Nasopharynx,0,4,0.04,0.03,0.00
5,C12-13,68,Hypopharynx,0,0,0.00,0.00,0.00
6,C15,68,Oesophagus,0,167,1.4,1.4,0.17
7,C16,68,Stomach,0,1092,8.7,9.1,1.0
41,C18-C21,68,Colorectum,0,701,6.0,5.9,0.77
11,C22,68,Liver and intrahepatic bile ducts,0,884,6.7,7.4,0.72
12,C23,68,Gallbladder,0,1006,7.6,8.4,0.88
13,C25,68,Pancreas,0,395,3.0,3.3,0.35
14,C32,68,Larynx,0,148,1.3,1.2,0.19
15,C33-34,68,"Trachea, bronchus and lung",0,1163,8.5,9.7,0.91
16,C43,68,Melanoma of skin,0,307,2.6,2.6,0.25
18,C45,68,Mesothelioma,0,12,0.11,0.10,0.02
19,C46,68,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,68,Breast,0,1679,26.8,28.1,2.5
21,C51,68,Vulva,0,27,0.51,0.45,0.08
22,C52,68,Vagina,0,28,0.49,0.47,0.04
23,C53,68,Cervix uteri,0,2213,38.7,37.0,3.9
24,C54,68,Corpus uteri,0,539,9.7,9.0,1.0
25,C56,68,Ovary,0,169,3.1,2.8,0.34
26,C60,68,Penis,0,194,2.4,3.2,0.12
27,C61,68,Prostate,0,1935,34.2,32.2,4.4
28,C62,68,Testis,0,82,1.4,1.4,0.13
29,C64,68,Kidney,0,390,3.0,3.3,0.32
30,C67,68,Bladder,0,123,1.0,1.0,0.13
31,C70-72,68," Brain, central nervous system",0,268,2.3,2.2,0.26
32,C73,68,Thyroid,0,247,2.1,2.1,0.23
33,C81,68,Hodgkin lymphoma,0,143,1.2,1.2,0.13
34,C82-86+C88,68,Non-Hodgkin lymphoma,0,295,2.5,2.5,0.27
35,C90,68,Multiple myeloma,0,47,0.42,0.39,0.06
36,C91-95,68,Leukaemia,0,619,4.9,5.2,0.36
