Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,70,All cancers excl. non-melanoma skin cancer,0,13765,212.3,423.6,22.3
1,C00-06,70,"Lip, oral cavity",0,151,2.3,4.7,0.28
2,C07-08,70,Salivary glands,0,37,0.60,1.1,0.07
3,C09-10,70,Oropharynx,0,42,0.68,1.3,0.08
4,C11,70,Nasopharynx,0,11,0.19,0.34,0.02
5,C12-13,70,Hypopharynx,0,48,0.78,1.5,0.10
6,C15,70,Oesophagus,0,98,1.4,3.0,0.18
7,C16,70,Stomach,0,687,9.6,21.1,1.2
41,C18-C21,70,Colorectum,0,1855,26.3,57.1,3.2
11,C22,70,Liver and intrahepatic bile ducts,0,492,6.6,15.1,0.82
12,C23,70,Gallbladder,0,117,1.5,3.6,0.18
13,C25,70,Pancreas,0,502,7.1,15.5,0.89
14,C32,70,Larynx,0,268,4.2,8.3,0.52
15,C33-34,70,"Trachea, bronchus and lung",0,2436,36.1,75.0,4.5
16,C43,70,Melanoma of skin,0,336,5.8,10.3,0.62
18,C45,70,Mesothelioma,0,13,0.18,0.40,0.03
19,C46,70,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,70,Breast,0,1573,52.9,94.8,5.8
21,C51,70,Vulva,0,33,0.80,2.0,0.10
22,C52,70,Vagina,0,14,0.35,0.84,0.05
23,C53,70,Cervix uteri,0,263,12.3,15.9,1.1
24,C54,70,Corpus uteri,0,358,11.2,21.6,1.3
25,C56,70,Ovary,0,292,9.8,17.6,1.1
26,C60,70,Penis,0,6,0.18,0.38,0.02
27,C61,70,Prostate,0,922,24.5,58.0,3.1
28,C62,70,Testis,0,106,6.9,6.7,0.49
29,C64,70,Kidney,0,337,5.3,10.4,0.63
30,C67,70,Bladder,0,670,9.2,20.6,1.2
31,C70-72,70," Brain, central nervous system",0,388,6.6,11.9,0.74
32,C73,70,Thyroid,0,142,2.9,4.4,0.30
33,C81,70,Hodgkin lymphoma,0,104,2.7,3.2,0.22
34,C82-86+C88,70,Non-Hodgkin lymphoma,0,213,3.6,6.6,0.41
35,C90,70,Multiple myeloma,0,85,1.2,2.6,0.15
36,C91-95,70,Leukaemia,0,286,4.9,8.8,0.51
