Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,72,All cancers excl. non-melanoma skin cancer,0,2222,110.6,91.0,11.4
1,C00-06,72,"Lip, oral cavity",0,73,4.0,3.0,0.45
2,C07-08,72,Salivary glands,0,7,0.37,0.29,0.04
3,C09-10,72,Oropharynx,0,9,0.54,0.37,0.07
4,C11,72,Nasopharynx,0,11,0.51,0.45,0.05
5,C12-13,72,Hypopharynx,0,8,0.47,0.33,0.07
6,C15,72,Oesophagus,0,134,7.8,5.5,0.94
7,C16,72,Stomach,0,24,1.3,0.98,0.15
41,C18-C21,72,Colorectum,0,89,4.5,3.7,0.50
11,C22,72,Liver and intrahepatic bile ducts,0,29,1.6,1.2,0.19
12,C23,72,Gallbladder,0,0,0.00,0.00,0.00
13,C25,72,Pancreas,0,14,0.75,0.57,0.10
14,C32,72,Larynx,0,36,2.1,1.5,0.25
15,C33-34,72,"Trachea, bronchus and lung",0,63,3.6,2.6,0.45
16,C43,72,Melanoma of skin,0,30,1.7,1.2,0.20
18,C45,72,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,72,Kaposi sarcoma,0,232,9.3,9.5,0.81
20,C50,72,Breast,0,257,23.0,20.5,2.5
21,C51,72,Vulva,0,34,2.6,2.7,0.24
22,C52,72,Vagina,0,7,0.60,0.56,0.07
23,C53,72,Cervix uteri,0,454,39.1,36.1,4.0
24,C54,72,Corpus uteri,0,41,4.1,3.3,0.52
25,C56,72,Ovary,0,31,2.8,2.5,0.33
26,C60,72,Penis,0,34,3.9,2.9,0.42
27,C61,72,Prostate,0,159,23.9,13.4,2.8
28,C62,72,Testis,0,1,0.07,0.08,0.01
29,C64,72,Kidney,0,19,0.95,0.78,0.09
30,C67,72,Bladder,0,14,0.82,0.57,0.09
31,C70-72,72," Brain, central nervous system",0,14,0.58,0.57,0.04
32,C73,72,Thyroid,0,9,0.47,0.37,0.06
33,C81,72,Hodgkin lymphoma,0,29,1.2,1.2,0.10
34,C82-86+C88,72,Non-Hodgkin lymphoma,0,99,4.3,4.1,0.41
35,C90,72,Multiple myeloma,0,20,1.1,0.82,0.15
36,C91-95,72,Leukaemia,0,33,1.5,1.4,0.14
