Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,100,All cancers excl. non-melanoma skin cancer,0,31485,215.5,460.0,22.6
1,C00-06,100,"Lip, oral cavity",0,411,3.0,6.0,0.35
2,C07-08,100,Salivary glands,0,71,0.44,1.0,0.05
3,C09-10,100,Oropharynx,0,115,0.90,1.7,0.11
4,C11,100,Nasopharynx,0,96,0.84,1.4,0.09
5,C12-13,100,Hypopharynx,0,90,0.69,1.3,0.08
6,C15,100,Oesophagus,0,226,1.6,3.3,0.19
7,C16,100,Stomach,0,1469,9.0,21.5,1.1
41,C18-C21,100,Colorectum,0,5086,30.2,74.3,3.8
11,C22,100,Liver and intrahepatic bile ducts,0,713,4.4,10.4,0.52
12,C23,100,Gallbladder,0,77,0.41,1.1,0.05
13,C25,100,Pancreas,0,1280,7.5,18.7,0.90
14,C32,100,Larynx,0,432,3.1,6.3,0.40
15,C33-34,100,"Trachea, bronchus and lung",0,3966,27.1,57.9,3.5
16,C43,100,Melanoma of skin,0,465,3.4,6.8,0.37
18,C45,100,Mesothelioma,0,58,0.44,0.85,0.05
19,C46,100,Kaposi sarcoma,0,11,0.05,0.16,0.01
20,C50,100,Breast,0,3616,53.5,102.7,5.8
21,C51,100,Vulva,0,111,1.1,3.2,0.13
22,C52,100,Vagina,0,35,0.41,0.99,0.05
23,C53,100,Cervix uteri,0,877,15.4,24.9,1.6
24,C54,100,Corpus uteri,0,1186,16.0,33.7,1.9
25,C56,100,Ovary,0,676,10.0,19.2,1.1
26,C60,100,Penis,0,65,0.90,2.0,0.11
27,C61,100,Prostate,0,3122,38.2,94.0,4.8
28,C62,100,Testis,0,153,4.5,4.6,0.35
29,C64,100,Kidney,0,790,6.0,11.5,0.70
30,C67,100,Bladder,0,1730,10.7,25.3,1.3
31,C70-72,100," Brain, central nervous system",0,804,6.8,11.8,0.72
32,C73,100,Thyroid,0,412,4.4,6.0,0.42
33,C81,100,Hodgkin lymphoma,0,96,1.4,1.4,0.11
34,C82-86+C88,100,Non-Hodgkin lymphoma,0,492,4.0,7.2,0.42
35,C90,100,Multiple myeloma,0,208,1.4,3.0,0.18
36,C91-95,100,Leukaemia,0,639,5.6,9.3,0.53
