Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,120,All cancers excl. non-melanoma skin cancer,0,19260,124.1,69.0,12.9
1,C00-06,120,"Lip, oral cavity",0,237,1.7,0.85,0.20
2,C07-08,120,Salivary glands,0,205,1.3,0.73,0.14
3,C09-10,120,Oropharynx,0,177,1.2,0.63,0.14
4,C11,120,Nasopharynx,0,364,2.1,1.3,0.24
5,C12-13,120,Hypopharynx,0,153,0.94,0.55,0.10
6,C15,120,Oesophagus,0,165,1.3,0.59,0.14
7,C16,120,Stomach,0,477,3.5,1.7,0.38
41,C18-C21,120,Colorectum,0,916,6.3,3.3,0.72
11,C22,120,Liver and intrahepatic bile ducts,0,972,5.8,3.5,0.61
12,C23,120,Gallbladder,0,26,0.19,0.09,0.02
13,C25,120,Pancreas,0,187,1.4,0.67,0.16
14,C32,120,Larynx,0,38,0.28,0.14,0.04
15,C33-34,120,"Trachea, bronchus and lung",0,393,3.1,1.4,0.35
16,C43,120,Melanoma of skin,0,153,1.3,0.55,0.14
18,C45,120,Mesothelioma,0,8,0.05,0.03,0.01
19,C46,120,Kaposi sarcoma,0,1148,6.2,4.1,0.65
20,C50,120,Breast,0,4207,48.6,30.2,5.1
21,C51,120,Vulva,0,59,0.87,0.42,0.10
22,C52,120,Vagina,0,47,0.59,0.34,0.07
23,C53,120,Cervix uteri,0,2525,33.1,18.1,3.7
24,C54,120,Corpus uteri,0,203,2.9,1.5,0.37
25,C56,120,Ovary,0,490,5.9,3.5,0.65
26,C60,120,Penis,0,9,0.11,0.06,0.01
27,C61,120,Prostate,0,2050,38.6,14.7,4.7
28,C62,120,Testis,0,37,0.36,0.26,0.03
29,C64,120,Kidney,0,176,0.84,0.63,0.08
30,C67,120,Bladder,0,180,1.4,0.64,0.16
31,C70-72,120," Brain, central nervous system",0,109,0.51,0.39,0.05
32,C73,120,Thyroid,0,118,0.75,0.42,0.09
33,C81,120,Hodgkin lymphoma,0,111,0.54,0.40,0.05
34,C82-86+C88,120,Non-Hodgkin lymphoma,0,1480,7.8,5.3,0.79
35,C90,120,Multiple myeloma,0,105,0.78,0.38,0.10
36,C91-95,120,Leukaemia,0,362,1.8,1.3,0.19
