Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,124,All cancers excl. non-melanoma skin cancer,0,232074,292.4,604.5,28.7
1,C00-06,124,"Lip, oral cavity",0,3414,4.4,8.9,0.53
2,C07-08,124,Salivary glands,0,723,0.94,1.9,0.10
3,C09-10,124,Oropharynx,0,1479,2.2,3.9,0.27
4,C11,124,Nasopharynx,0,372,0.62,0.97,0.07
5,C12-13,124,Hypopharynx,0,240,0.29,0.63,0.04
6,C15,124,Oesophagus,0,3136,3.2,8.2,0.34
7,C16,124,Stomach,0,4113,4.7,10.7,0.54
41,C18-C21,124,Colorectum,0,23725,28.6,61.8,3.2
11,C22,124,Liver and intrahepatic bile ducts,0,4974,5.9,13.0,0.72
12,C23,124,Gallbladder,0,510,0.55,1.3,0.06
13,C25,124,Pancreas,0,6939,7.5,18.1,0.88
14,C32,124,Larynx,0,992,1.2,2.6,0.15
15,C33-34,124,"Trachea, bronchus and lung",0,31157,32.4,81.2,3.9
16,C43,124,Melanoma of skin,0,11383,14.5,29.7,1.6
18,C45,124,Mesothelioma,0,719,0.66,1.9,0.07
19,C46,124,Kaposi sarcoma,0,117,0.16,0.30,0.02
20,C50,124,Breast,0,31823,88.6,164.7,9.8
21,C51,124,Vulva,0,959,2.2,5.0,0.24
22,C52,124,Vagina,0,228,0.53,1.2,0.06
23,C53,124,Cervix uteri,0,1730,6.6,9.0,0.62
24,C54,124,Corpus uteri,0,7898,21.1,40.9,2.6
25,C56,124,Ovary,0,3297,9.2,17.1,1.0
26,C60,124,Penis,0,293,0.68,1.5,0.08
27,C61,124,Prostate,0,25560,60.1,134.1,7.8
28,C62,124,Testis,0,1141,5.8,6.0,0.44
29,C64,124,Kidney,0,7983,10.9,20.8,1.3
30,C67,124,Bladder,0,15111,15.6,39.4,1.8
31,C70-72,124," Brain, central nervous system",0,3181,5.5,8.3,0.52
32,C73,124,Thyroid,0,5559,10.7,14.5,1.0
33,C81,124,Hodgkin lymphoma,0,1114,2.6,2.9,0.21
34,C82-86+C88,124,Non-Hodgkin lymphoma,0,9481,12.1,24.7,1.4
35,C90,124,Multiple myeloma,0,4779,5.3,12.5,0.63
36,C91-95,124,Leukaemia,0,8503,11.7,22.2,1.2
