Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,160,All cancers excl. non-melanoma skin cancer,0,4775419,199.7,338.3,20.3
1,C00-06,160,"Lip, oral cavity",0,37208,1.5,2.6,0.18
2,C07-08,160,Salivary glands,0,10434,0.48,0.74,0.05
3,C09-10,160,Oropharynx,0,7941,0.33,0.56,0.04
4,C11,160,Nasopharynx,0,51010,2.4,3.6,0.26
5,C12-13,160,Hypopharynx,0,9549,0.39,0.68,0.05
6,C15,160,Oesophagus,0,224012,8.3,15.9,1.0
7,C16,160,Stomach,0,358672,13.7,25.4,1.7
41,C18-C21,160,Colorectum,0,517106,20.1,36.6,2.4
11,C22,160,Liver and intrahepatic bile ducts,0,367657,15.0,26.0,1.7
12,C23,160,Gallbladder,0,31132,1.1,2.2,0.13
13,C25,160,Pancreas,0,118672,4.4,8.4,0.52
14,C32,160,Larynx,0,29461,1.2,2.1,0.15
15,C33-34,160,"Trachea, bronchus and lung",0,1060584,40.8,75.1,4.9
16,C43,160,Melanoma of skin,0,8789,0.37,0.62,0.04
18,C45,160,Mesothelioma,0,2381,0.10,0.17,0.01
19,C46,160,Kaposi sarcoma,0,535,0.03,0.04,0.00
20,C50,160,Breast,0,361228,33.4,52.3,3.6
21,C51,160,Vulva,0,4117,0.32,0.60,0.04
22,C52,160,Vagina,0,2685,0.23,0.39,0.03
23,C53,160,Cervix uteri,0,150659,13.8,21.8,1.5
24,C54,160,Corpus uteri,0,77722,6.8,11.3,0.77
25,C56,160,Ovary,0,61060,5.7,8.8,0.61
26,C60,160,Penis,0,5973,0.49,0.83,0.06
27,C61,160,Prostate,0,134156,9.7,18.6,1.1
28,C62,160,Testis,0,3486,0.41,0.48,0.03
29,C64,160,Kidney,0,73656,3.1,5.2,0.37
30,C67,160,Bladder,0,92883,3.4,6.6,0.39
31,C70-72,160," Brain, central nervous system",0,87498,4.2,6.2,0.43
32,C73,160,Thyroid,0,466118,24.6,33.0,2.3
33,C81,160,Hodgkin lymphoma,0,4363,0.23,0.31,0.02
34,C82-86+C88,160,Non-Hodgkin lymphoma,0,80829,3.5,5.7,0.40
35,C90,160,Multiple myeloma,0,30300,1.2,2.2,0.15
36,C91-95,160,Leukaemia,0,81946,4.5,5.8,0.41
