Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,196,All cancers excl. non-melanoma skin cancer,0,5921,283.6,484.0,27.1
1,C00-06,196,"Lip, oral cavity",0,41,2.0,3.4,0.23
2,C07-08,196,Salivary glands,0,12,0.54,0.98,0.06
3,C09-10,196,Oropharynx,0,8,0.48,0.65,0.06
4,C11,196,Nasopharynx,0,5,0.32,0.41,0.03
5,C12-13,196,Hypopharynx,0,2,0.11,0.16,0.02
6,C15,196,Oesophagus,0,17,0.73,1.4,0.09
7,C16,196,Stomach,0,147,6.1,12.0,0.63
41,C18-C21,196,Colorectum,0,568,24.1,46.4,2.7
11,C22,196,Liver and intrahepatic bile ducts,0,130,5.6,10.6,0.66
12,C23,196,Gallbladder,0,13,0.50,1.1,0.05
13,C25,196,Pancreas,0,215,8.6,17.6,0.93
14,C32,196,Larynx,0,44,2.1,3.6,0.30
15,C33-34,196,"Trachea, bronchus and lung",0,625,27.0,51.1,3.3
16,C43,196,Melanoma of skin,0,112,5.4,9.2,0.58
18,C45,196,Mesothelioma,0,14,0.55,1.1,0.07
19,C46,196,Kaposi sarcoma,0,5,0.23,0.41,0.02
20,C50,196,Breast,0,1027,105.4,167.9,11.0
21,C51,196,Vulva,0,13,0.96,2.1,0.09
22,C52,196,Vagina,0,0,0.00,0.00,0.00
23,C53,196,Cervix uteri,0,62,7.0,10.1,0.67
24,C54,196,Corpus uteri,0,187,17.7,30.6,2.2
25,C56,196,Ovary,0,119,10.6,19.5,1.2
26,C60,196,Penis,0,10,0.90,1.6,0.10
27,C61,196,Prostate,0,691,60.9,113.0,7.5
28,C62,196,Testis,0,48,6.6,7.9,0.49
29,C64,196,Kidney,0,101,4.7,8.3,0.59
30,C67,196,Bladder,0,319,13.4,26.1,1.6
31,C70-72,196," Brain, central nervous system",0,135,6.9,11.0,0.66
32,C73,196,Thyroid,0,498,31.8,40.7,3.1
33,C81,196,Hodgkin lymphoma,0,37,2.6,3.0,0.23
34,C82-86+C88,196,Non-Hodgkin lymphoma,0,218,11.3,17.8,1.2
35,C90,196,Multiple myeloma,0,99,4.1,8.1,0.42
36,C91-95,196,Leukaemia,0,229,10.7,18.7,0.95
