Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,208,All cancers excl. non-melanoma skin cancer,0,43964,349.8,753.5,33.5
1,C00-06,208,"Lip, oral cavity",0,449,3.8,7.7,0.47
2,C07-08,208,Salivary glands,0,82,0.74,1.4,0.08
3,C09-10,208,Oropharynx,0,450,4.1,7.7,0.52
4,C11,208,Nasopharynx,0,21,0.22,0.36,0.03
5,C12-13,208,Hypopharynx,0,120,0.98,2.1,0.13
6,C15,208,Oesophagus,0,609,4.3,10.4,0.55
7,C16,208,Stomach,0,731,5.3,12.5,0.63
41,C18-C21,208,Colorectum,0,6878,48.1,117.9,5.6
11,C22,208,Liver and intrahepatic bile ducts,0,672,4.6,11.5,0.55
12,C23,208,Gallbladder,0,79,0.48,1.4,0.06
13,C25,208,Pancreas,0,1354,8.5,23.2,0.92
14,C32,208,Larynx,0,235,1.9,4.0,0.25
15,C33-34,208,"Trachea, bronchus and lung",0,4973,34.2,85.2,4.3
16,C43,208,Melanoma of skin,0,3144,31.1,53.9,3.2
18,C45,208,Mesothelioma,0,157,1.0,2.7,0.12
19,C46,208,Kaposi sarcoma,0,4,0.05,0.07,0.01
20,C50,208,Breast,0,5306,96.0,180.8,10.4
21,C51,208,Vulva,0,197,2.8,6.7,0.30
22,C52,208,Vagina,0,22,0.30,0.75,0.04
23,C53,208,Cervix uteri,0,373,9.7,12.7,0.89
24,C54,208,Corpus uteri,0,911,14.3,31.0,1.8
25,C56,208,Ovary,0,441,7.2,15.0,0.84
26,C60,208,Penis,0,74,1.1,2.6,0.12
27,C61,208,Prostate,0,5250,76.7,181.0,9.6
28,C62,208,Testis,0,310,10.2,10.7,0.82
29,C64,208,Kidney,0,1260,11.0,21.6,1.3
30,C67,208,Bladder,0,2501,16.8,42.9,2.0
31,C70-72,208," Brain, central nervous system",0,642,5.7,11.0,0.58
32,C73,208,Thyroid,0,676,8.0,11.6,0.80
33,C81,208,Hodgkin lymphoma,0,176,2.6,3.0,0.22
34,C82-86+C88,208,Non-Hodgkin lymphoma,0,1758,14.0,30.1,1.6
35,C90,208,Multiple myeloma,0,661,4.7,11.3,0.57
36,C91-95,208,Leukaemia,0,1166,10.1,20.0,1.0
