Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,232,All cancers excl. non-melanoma skin cancer,0,2403,97.4,65.6,10.2
1,C00-06,232,"Lip, oral cavity",0,40,1.7,1.1,0.19
2,C07-08,232,Salivary glands,0,11,0.45,0.30,0.04
3,C09-10,232,Oropharynx,0,1,0.04,0.03,0.00
4,C11,232,Nasopharynx,0,30,1.2,0.82,0.12
5,C12-13,232,Hypopharynx,0,0,0.00,0.00,0.00
6,C15,232,Oesophagus,0,65,2.8,1.8,0.33
7,C16,232,Stomach,0,71,3.0,1.9,0.32
41,C18-C21,232,Colorectum,0,169,6.9,4.6,0.76
11,C22,232,Liver and intrahepatic bile ducts,0,97,4.3,2.7,0.50
12,C23,232,Gallbladder,0,18,0.80,0.49,0.10
13,C25,232,Pancreas,0,28,1.2,0.76,0.14
14,C32,232,Larynx,0,19,0.83,0.52,0.10
15,C33-34,232,"Trachea, bronchus and lung",0,72,3.2,2.0,0.38
16,C43,232,Melanoma of skin,0,8,0.36,0.22,0.05
18,C45,232,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,232,Kaposi sarcoma,0,2,0.07,0.05,0.01
20,C50,232,Breast,0,502,37.8,27.5,3.9
21,C51,232,Vulva,0,16,1.3,0.88,0.14
22,C52,232,Vagina,0,5,0.47,0.27,0.07
23,C53,232,Cervix uteri,0,196,16.4,10.7,1.9
24,C54,232,Corpus uteri,0,31,2.6,1.7,0.31
25,C56,232,Ovary,0,92,7.2,5.0,0.79
26,C60,232,Penis,0,1,0.11,0.05,0.02
27,C61,232,Prostate,0,112,10.9,6.1,1.3
28,C62,232,Testis,0,9,0.64,0.49,0.07
29,C64,232,Kidney,0,56,2.1,1.5,0.22
30,C67,232,Bladder,0,52,2.3,1.4,0.28
31,C70-72,232," Brain, central nervous system",0,34,1.2,0.93,0.12
32,C73,232,Thyroid,0,83,3.3,2.3,0.36
33,C81,232,Hodgkin lymphoma,0,22,0.65,0.60,0.06
34,C82-86+C88,232,Non-Hodgkin lymphoma,0,131,4.9,3.6,0.51
35,C90,232,Multiple myeloma,0,20,0.91,0.55,0.12
36,C91-95,232,Leukaemia,0,127,4.5,3.5,0.45
