Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,233,All cancers excl. non-melanoma skin cancer,0,7817,277.0,591.3,28.7
1,C00-06,233,"Lip, oral cavity",0,101,4.2,7.6,0.51
2,C07-08,233,Salivary glands,0,15,0.62,1.1,0.09
3,C09-10,233,Oropharynx,0,43,2.0,3.3,0.25
4,C11,233,Nasopharynx,0,4,0.14,0.30,0.02
5,C12-13,233,Hypopharynx,0,36,1.5,2.7,0.21
6,C15,233,Oesophagus,0,93,3.5,7.0,0.46
7,C16,233,Stomach,0,412,13.1,31.2,1.6
41,C18-C21,233,Colorectum,0,1074,31.8,81.3,3.8
11,C22,233,Liver and intrahepatic bile ducts,0,138,4.5,10.4,0.57
12,C23,233,Gallbladder,0,27,0.72,2.0,0.09
13,C25,233,Pancreas,0,302,8.6,22.9,1.1
14,C32,233,Larynx,0,61,2.3,4.6,0.31
15,C33-34,233,"Trachea, bronchus and lung",0,810,25.8,61.3,3.4
16,C43,233,Melanoma of skin,0,268,11.2,20.3,1.2
18,C45,233,Mesothelioma,0,5,0.15,0.38,0.02
19,C46,233,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,233,Breast,0,862,63.3,124.2,6.9
21,C51,233,Vulva,0,32,1.4,4.6,0.18
22,C52,233,Vagina,0,5,0.34,0.72,0.05
23,C53,233,Cervix uteri,0,121,11.8,17.4,1.2
24,C54,233,Corpus uteri,0,254,17.7,36.6,2.1
25,C56,233,Ovary,0,135,9.4,19.5,1.1
26,C60,233,Penis,0,14,1.1,2.2,0.14
27,C61,233,Prostate,0,1174,98.8,186.9,13.0
28,C62,233,Testis,0,29,4.5,4.6,0.34
29,C64,233,Kidney,0,303,10.5,22.9,1.3
30,C67,233,Bladder,0,318,9.4,24.1,1.2
31,C70-72,233," Brain, central nervous system",0,124,6.2,9.4,0.59
32,C73,233,Thyroid,0,91,4.1,6.9,0.43
33,C81,233,Hodgkin lymphoma,0,36,2.4,2.7,0.20
34,C82-86+C88,233,Non-Hodgkin lymphoma,0,255,9.4,19.3,1.1
35,C90,233,Multiple myeloma,0,112,3.5,8.5,0.46
36,C91-95,233,Leukaemia,0,232,9.6,17.6,0.97
