Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,231,All cancers excl. non-melanoma skin cancer,0,77790,101.1,64.4,10.6
1,C00-06,231,"Lip, oral cavity",0,1038,1.4,0.86,0.16
2,C07-08,231,Salivary glands,0,474,0.63,0.39,0.07
3,C09-10,231,Oropharynx,0,133,0.18,0.11,0.02
4,C11,231,Nasopharynx,0,858,0.98,0.71,0.09
5,C12-13,231,Hypopharynx,0,66,0.09,0.05,0.01
6,C15,231,Oesophagus,0,1494,2.3,1.2,0.28
7,C16,231,Stomach,0,2394,3.3,2.0,0.37
41,C18-C21,231,Colorectum,0,6551,9.0,5.4,1.0
11,C22,231,Liver and intrahepatic bile ducts,0,2798,4.1,2.3,0.49
12,C23,231,Gallbladder,0,413,0.63,0.34,0.08
13,C25,231,Pancreas,0,944,1.4,0.78,0.16
14,C32,231,Larynx,0,483,0.71,0.40,0.08
15,C33-34,231,"Trachea, bronchus and lung",0,2486,3.7,2.1,0.42
16,C43,231,Melanoma of skin,0,255,0.35,0.21,0.04
18,C45,231,Mesothelioma,0,11,0.02,0.01,0.00
19,C46,231,Kaposi sarcoma,0,163,0.18,0.13,0.02
20,C50,231,Breast,0,16904,40.8,28.0,4.2
21,C51,231,Vulva,0,483,1.1,0.80,0.11
22,C52,231,Vagina,0,220,0.59,0.36,0.08
23,C53,231,Cervix uteri,0,8168,22.3,13.5,2.5
24,C54,231,Corpus uteri,0,876,2.4,1.5,0.27
25,C56,231,Ovary,0,2696,6.8,4.5,0.74
26,C60,231,Penis,0,39,0.11,0.06,0.01
27,C61,231,Prostate,0,2317,8.0,3.8,1.0
28,C62,231,Testis,0,281,0.56,0.46,0.05
29,C64,231,Kidney,0,1826,2.2,1.5,0.22
30,C67,231,Bladder,0,1647,2.5,1.4,0.30
31,C70-72,231," Brain, central nervous system",0,960,1.1,0.79,0.11
32,C73,231,Thyroid,0,3139,3.8,2.6,0.42
33,C81,231,Hodgkin lymphoma,0,770,0.65,0.64,0.05
34,C82-86+C88,231,Non-Hodgkin lymphoma,0,3568,4.1,3.0,0.42
35,C90,231,Multiple myeloma,0,328,0.48,0.27,0.06
36,C91-95,231,Leukaemia,0,4721,5.0,3.9,0.47
