Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,242,All cancers excl. non-melanoma skin cancer,0,1593,173.9,175.2,17.1
1,C00-06,242,"Lip, oral cavity",0,29,3.1,3.2,0.32
2,C07-08,242,Salivary glands,0,9,0.89,0.99,0.08
3,C09-10,242,Oropharynx,0,3,0.29,0.33,0.03
4,C11,242,Nasopharynx,0,3,0.29,0.33,0.03
5,C12-13,242,Hypopharynx,0,0,0.00,0.00,0.00
6,C15,242,Oesophagus,0,17,2.0,1.9,0.16
7,C16,242,Stomach,0,37,4.1,4.1,0.45
41,C18-C21,242,Colorectum,0,96,11.5,10.6,1.2
11,C22,242,Liver and intrahepatic bile ducts,0,88,9.7,9.7,1.1
12,C23,242,Gallbladder,0,9,0.96,0.99,0.14
13,C25,242,Pancreas,0,23,2.8,2.5,0.27
14,C32,242,Larynx,0,16,1.7,1.8,0.17
15,C33-34,242,"Trachea, bronchus and lung",0,60,6.8,6.6,0.78
16,C43,242,Melanoma of skin,0,7,0.92,0.77,0.07
18,C45,242,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,242,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,242,Breast,0,289,60.3,64.3,6.3
21,C51,242,Vulva,0,0,0.00,0.00,0.00
22,C52,242,Vagina,0,2,0.46,0.45,0.05
23,C53,242,Cervix uteri,0,165,35.0,36.7,3.3
24,C54,242,Corpus uteri,0,67,14.0,14.9,1.7
25,C56,242,Ovary,0,52,11.1,11.6,1.0
26,C60,242,Penis,0,5,1.3,1.1,0.02
27,C61,242,Prostate,0,218,50.2,47.4,6.4
28,C62,242,Testis,0,18,3.7,3.9,0.28
29,C64,242,Kidney,0,5,0.57,0.55,0.05
30,C67,242,Bladder,0,23,2.5,2.5,0.33
31,C70-72,242," Brain, central nervous system",0,2,0.22,0.22,0.02
32,C73,242,Thyroid,0,80,8.7,8.8,0.94
33,C81,242,Hodgkin lymphoma,0,15,1.6,1.7,0.11
34,C82-86+C88,242,Non-Hodgkin lymphoma,0,51,5.3,5.6,0.50
35,C90,242,Multiple myeloma,0,10,1.1,1.1,0.11
36,C91-95,242,Leukaemia,0,64,7.0,7.0,0.55
