Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,258,All cancers excl. non-melanoma skin cancer,0,877,228.1,308.6,23.8
1,C00-06,258,"Lip, oral cavity",0,13,3.3,4.6,0.36
2,C07-08,258,Salivary glands,0,1,0.23,0.35,0.03
3,C09-10,258,Oropharynx,0,8,2.2,2.8,0.29
4,C11,258,Nasopharynx,0,5,1.3,1.8,0.16
5,C12-13,258,Hypopharynx,0,5,1.3,1.8,0.21
6,C15,258,Oesophagus,0,12,3.0,4.2,0.39
7,C16,258,Stomach,0,27,6.8,9.5,0.78
41,C18-C21,258,Colorectum,0,48,11.9,16.9,1.3
11,C22,258,Liver and intrahepatic bile ducts,0,33,8.5,11.6,0.95
12,C23,258,Gallbladder,0,8,2.0,2.8,0.25
13,C25,258,Pancreas,0,19,4.6,6.7,0.48
14,C32,258,Larynx,0,9,2.4,3.2,0.30
15,C33-34,258,"Trachea, bronchus and lung",0,154,40.0,54.2,5.1
16,C43,258,Melanoma of skin,0,19,5.1,6.7,0.63
18,C45,258,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,258,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,258,Breast,0,135,71.9,96.2,7.4
21,C51,258,Vulva,0,0,0.00,0.00,0.00
22,C52,258,Vagina,0,0,0.00,0.00,0.00
23,C53,258,Cervix uteri,0,15,8.3,10.7,0.90
24,C54,258,Corpus uteri,0,19,10.4,13.5,1.3
25,C56,258,Ovary,0,12,6.4,8.6,0.80
26,C60,258,Penis,0,0,0.00,0.00,0.00
27,C61,258,Prostate,0,121,62.3,84.2,7.3
28,C62,258,Testis,0,2,1.4,1.4,0.10
29,C64,258,Kidney,0,13,3.4,4.6,0.43
30,C67,258,Bladder,0,17,4.3,6.0,0.56
31,C70-72,258," Brain, central nervous system",0,8,2.1,2.8,0.27
32,C73,258,Thyroid,0,61,16.9,21.5,1.8
33,C81,258,Hodgkin lymphoma,0,0,0.00,0.00,0.00
34,C82-86+C88,258,Non-Hodgkin lymphoma,0,26,6.9,9.2,0.83
35,C90,258,Multiple myeloma,0,13,3.4,4.6,0.48
36,C91-95,258,Leukaemia,0,17,4.8,6.0,0.57
