Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,266,All cancers excl. non-melanoma skin cancer,0,1842,112.3,79.0,11.6
1,C00-06,266,"Lip, oral cavity",0,51,3.5,2.2,0.39
2,C07-08,266,Salivary glands,0,11,0.68,0.47,0.07
3,C09-10,266,Oropharynx,0,17,1.1,0.73,0.12
4,C11,266,Nasopharynx,0,11,0.63,0.47,0.07
5,C12-13,266,Hypopharynx,0,2,0.15,0.09,0.02
6,C15,266,Oesophagus,0,25,1.7,1.1,0.18
7,C16,266,Stomach,0,40,2.4,1.7,0.26
41,C18-C21,266,Colorectum,0,109,6.8,4.7,0.77
11,C22,266,Liver and intrahepatic bile ducts,0,153,8.9,6.6,0.94
12,C23,266,Gallbladder,0,10,0.62,0.43,0.06
13,C25,266,Pancreas,0,51,3.4,2.2,0.38
14,C32,266,Larynx,0,33,2.3,1.4,0.29
15,C33-34,266,"Trachea, bronchus and lung",0,45,3.1,1.9,0.37
16,C43,266,Melanoma of skin,0,10,0.74,0.43,0.06
18,C45,266,Mesothelioma,0,1,0.05,0.04,0.00
19,C46,266,Kaposi sarcoma,0,55,2.9,2.4,0.31
20,C50,266,Breast,0,323,36.4,28.2,3.8
21,C51,266,Vulva,0,2,0.24,0.17,0.02
22,C52,266,Vagina,0,4,0.46,0.35,0.05
23,C53,266,Cervix uteri,0,271,32.5,23.7,3.5
24,C54,266,Corpus uteri,0,29,4.0,2.5,0.47
25,C56,266,Ovary,0,65,7.8,5.7,0.84
26,C60,266,Penis,0,1,0.13,0.08,0.02
27,C61,266,Prostate,0,152,26.1,12.8,3.3
28,C62,266,Testis,0,4,0.30,0.34,0.02
29,C64,266,Kidney,0,27,1.5,1.2,0.13
30,C67,266,Bladder,0,24,1.8,1.0,0.20
31,C70-72,266," Brain, central nervous system",0,19,0.96,0.81,0.09
32,C73,266,Thyroid,0,12,0.68,0.51,0.07
33,C81,266,Hodgkin lymphoma,0,7,0.31,0.30,0.02
34,C82-86+C88,266,Non-Hodgkin lymphoma,0,77,3.9,3.3,0.36
35,C90,266,Multiple myeloma,0,14,0.93,0.60,0.11
36,C91-95,266,Leukaemia,0,29,1.3,1.2,0.11
