Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,268,All cancers excl. non-melanoma skin cancer,0,13184,192.2,332.2,20.4
1,C00-06,268,"Lip, oral cavity",0,208,3.0,5.2,0.35
2,C07-08,268,Salivary glands,0,36,0.42,0.91,0.04
3,C09-10,268,Oropharynx,0,45,0.64,1.1,0.09
4,C11,268,Nasopharynx,0,35,0.56,0.88,0.06
5,C12-13,268,Hypopharynx,0,67,1.0,1.7,0.13
6,C15,268,Oesophagus,0,87,1.1,2.2,0.13
7,C16,268,Stomach,0,759,9.7,19.1,1.2
41,C18-C21,268,Colorectum,0,1125,14.5,28.4,1.8
11,C22,268,Liver and intrahepatic bile ducts,0,476,6.7,12.0,0.80
12,C23,268,Gallbladder,0,93,1.1,2.3,0.14
13,C25,268,Pancreas,0,419,5.4,10.6,0.66
14,C32,268,Larynx,0,297,4.4,7.5,0.55
15,C33-34,268,"Trachea, bronchus and lung",0,1572,22.0,39.6,2.8
16,C43,268,Melanoma of skin,0,302,4.5,7.6,0.49
18,C45,268,Mesothelioma,0,13,0.17,0.33,0.02
19,C46,268,Kaposi sarcoma,0,3,0.06,0.08,0.00
20,C50,268,Breast,0,1730,49.0,83.2,5.4
21,C51,268,Vulva,0,63,1.2,3.0,0.14
22,C52,268,Vagina,0,16,0.32,0.77,0.03
23,C53,268,Cervix uteri,0,330,10.4,15.9,1.1
24,C54,268,Corpus uteri,0,418,10.7,20.1,1.4
25,C56,268,Ovary,0,390,10.6,18.8,1.3
26,C60,268,Penis,0,28,0.88,1.5,0.13
27,C61,268,Prostate,0,1090,34.6,57.7,4.7
28,C62,268,Testis,0,132,6.0,7.0,0.47
29,C64,268,Kidney,0,288,4.6,7.3,0.54
30,C67,268,Bladder,0,556,7.1,14.0,0.92
31,C70-72,268," Brain, central nervous system",0,403,7.0,10.2,0.69
32,C73,268,Thyroid,0,244,4.6,6.2,0.48
33,C81,268,Hodgkin lymphoma,0,105,2.3,2.7,0.19
34,C82-86+C88,268,Non-Hodgkin lymphoma,0,297,5.0,7.5,0.55
35,C90,268,Multiple myeloma,0,70,1.0,1.8,0.14
36,C91-95,268,Leukaemia,0,315,5.1,7.9,0.53
