Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,288,All cancers excl. non-melanoma skin cancer,0,27054,119.0,83.5,12.1
1,C00-06,288,"Lip, oral cavity",0,220,1.0,0.68,0.11
2,C07-08,288,Salivary glands,0,111,0.50,0.34,0.05
3,C09-10,288,Oropharynx,0,85,0.39,0.26,0.04
4,C11,288,Nasopharynx,0,217,0.74,0.67,0.07
5,C12-13,288,Hypopharynx,0,24,0.14,0.07,0.01
6,C15,288,Oesophagus,0,476,2.6,1.5,0.28
7,C16,288,Stomach,0,942,4.8,2.9,0.56
41,C18-C21,288,Colorectum,0,986,4.7,3.0,0.51
11,C22,288,Liver and intrahepatic bile ducts,0,3731,16.1,11.5,1.6
12,C23,288,Gallbladder,0,38,0.15,0.12,0.01
13,C25,288,Pancreas,0,348,1.7,1.1,0.22
14,C32,288,Larynx,0,227,1.1,0.70,0.13
15,C33-34,288,"Trachea, bronchus and lung",0,519,2.5,1.6,0.30
16,C43,288,Melanoma of skin,0,28,0.13,0.09,0.01
18,C45,288,Mesothelioma,0,8,0.03,0.02,0.00
19,C46,288,Kaposi sarcoma,0,132,0.48,0.41,0.05
20,C50,288,Breast,0,5026,40.2,31.5,4.2
21,C51,288,Vulva,0,70,0.65,0.44,0.07
22,C52,288,Vagina,0,22,0.15,0.14,0.01
23,C53,288,Cervix uteri,0,3072,27.0,19.2,3.1
24,C54,288,Corpus uteri,0,487,4.8,3.1,0.61
25,C56,288,Ovary,0,1200,10.1,7.5,1.1
26,C60,288,Penis,0,24,0.30,0.15,0.03
27,C61,288,Prostate,0,2395,30.4,14.6,3.6
28,C62,288,Testis,0,58,0.42,0.35,0.04
29,C64,288,Kidney,0,322,1.3,0.99,0.11
30,C67,288,Bladder,0,529,2.6,1.6,0.31
31,C70-72,288," Brain, central nervous system",0,413,1.8,1.3,0.16
32,C73,288,Thyroid,0,132,0.57,0.41,0.06
33,C81,288,Hodgkin lymphoma,0,174,0.61,0.54,0.05
34,C82-86+C88,288,Non-Hodgkin lymphoma,0,1374,5.0,4.2,0.47
35,C90,288,Multiple myeloma,0,132,0.66,0.41,0.07
36,C91-95,288,Leukaemia,0,475,1.7,1.5,0.13
