Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,300,All cancers excl. non-melanoma skin cancer,0,63176,253.8,612.4,25.8
1,C00-06,300,"Lip, oral cavity",0,688,2.9,6.7,0.31
2,C07-08,300,Salivary glands,0,130,0.40,1.3,0.05
3,C09-10,300,Oropharynx,0,69,0.33,0.67,0.04
4,C11,300,Nasopharynx,0,189,0.96,1.8,0.11
5,C12-13,300,Hypopharynx,0,23,0.10,0.22,0.01
6,C15,300,Oesophagus,0,252,0.93,2.4,0.11
7,C16,300,Stomach,0,1871,6.3,18.1,0.73
41,C18-C21,300,Colorectum,0,7859,26.8,76.2,3.2
11,C22,300,Liver and intrahepatic bile ducts,0,1669,5.4,16.2,0.61
12,C23,300,Gallbladder,0,83,0.29,0.80,0.04
13,C25,300,Pancreas,0,2305,7.9,22.3,0.93
14,C32,300,Larynx,0,849,3.5,8.2,0.44
15,C33-34,300,"Trachea, bronchus and lung",0,8583,31.3,83.2,4.0
16,C43,300,Melanoma of skin,0,1458,7.1,14.1,0.77
18,C45,300,Mesothelioma,0,87,0.31,0.84,0.04
19,C46,300,Kaposi sarcoma,0,44,0.10,0.43,0.01
20,C50,300,Breast,0,9087,83.3,173.0,8.8
21,C51,300,Vulva,0,205,1.0,3.9,0.12
22,C52,300,Vagina,0,17,0.14,0.32,0.02
23,C53,300,Cervix uteri,0,473,5.5,9.0,0.55
24,C54,300,Corpus uteri,0,1950,18.6,37.1,2.2
25,C56,300,Ovary,0,983,8.9,18.7,0.95
26,C60,300,Penis,0,167,1.3,3.3,0.14
27,C61,300,Prostate,0,7036,51.4,138.9,7.1
28,C62,300,Testis,0,446,9.1,8.8,0.68
29,C64,300,Kidney,0,1875,8.2,18.2,0.95
30,C67,300,Bladder,0,5122,18.1,49.7,2.3
31,C70-72,300," Brain, central nervous system",0,1306,6.5,12.7,0.64
32,C73,300,Thyroid,0,1025,5.7,9.9,0.65
33,C81,300,Hodgkin lymphoma,0,213,1.8,2.1,0.15
34,C82-86+C88,300,Non-Hodgkin lymphoma,0,1663,7.4,16.1,0.84
35,C90,300,Multiple myeloma,0,763,2.7,7.4,0.33
36,C91-95,300,Leukaemia,0,1938,8.8,18.8,0.81
