Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,320,All cancers excl. non-melanoma skin cancer,0,17304,118.8,93.1,12.3
1,C00-06,320,"Lip, oral cavity",0,136,0.87,0.73,0.08
2,C07-08,320,Salivary glands,0,24,0.15,0.13,0.02
3,C09-10,320,Oropharynx,0,46,0.32,0.25,0.04
4,C11,320,Nasopharynx,0,14,0.10,0.08,0.01
5,C12-13,320,Hypopharynx,0,5,0.04,0.03,0.01
6,C15,320,Oesophagus,0,150,1.0,0.81,0.11
7,C16,320,Stomach,0,1766,12.2,9.5,1.3
41,C18-C21,320,Colorectum,0,894,6.2,4.8,0.68
11,C22,320,Liver and intrahepatic bile ducts,0,2118,15.5,11.4,1.9
12,C23,320,Gallbladder,0,49,0.35,0.26,0.04
13,C25,320,Pancreas,0,350,2.5,1.9,0.29
14,C32,320,Larynx,0,88,0.61,0.47,0.07
15,C33-34,320,"Trachea, bronchus and lung",0,545,3.8,2.9,0.41
16,C43,320,Melanoma of skin,0,69,0.48,0.37,0.06
18,C45,320,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,320,Kaposi sarcoma,0,0,0.00,0.00,0.00
20,C50,320,Breast,0,2244,28.4,23.8,3.0
21,C51,320,Vulva,0,14,0.20,0.15,0.03
22,C52,320,Vagina,0,15,0.19,0.16,0.02
23,C53,320,Cervix uteri,0,1761,21.5,18.7,2.2
24,C54,320,Corpus uteri,0,186,2.5,2.0,0.28
25,C56,320,Ovary,0,236,3.0,2.5,0.32
26,C60,320,Penis,0,21,0.30,0.23,0.02
27,C61,320,Prostate,0,2696,43.6,29.4,5.0
28,C62,320,Testis,0,223,2.5,2.4,0.20
29,C64,320,Kidney,0,271,2.0,1.5,0.24
30,C67,320,Bladder,0,114,0.81,0.61,0.10
31,C70-72,320," Brain, central nervous system",0,274,1.8,1.5,0.20
32,C73,320,Thyroid,0,546,3.7,2.9,0.40
33,C81,320,Hodgkin lymphoma,0,148,0.88,0.80,0.09
34,C82-86+C88,320,Non-Hodgkin lymphoma,0,361,2.5,1.9,0.29
35,C90,320,Multiple myeloma,0,50,0.38,0.27,0.05
36,C91-95,320,Leukaemia,0,1046,6.1,5.6,0.53
