Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,356,All cancers excl. non-melanoma skin cancer,0,1401721,97.7,99.7,10.5
1,C00-06,356,"Lip, oral cavity",0,143759,9.9,10.2,1.1
2,C07-08,356,Salivary glands,0,8107,0.56,0.58,0.06
3,C09-10,356,Oropharynx,0,23174,1.6,1.7,0.19
4,C11,356,Nasopharynx,0,6519,0.45,0.46,0.05
5,C12-13,356,Hypopharynx,0,30510,2.1,2.2,0.26
6,C15,356,Oesophagus,0,70637,5.0,5.0,0.59
7,C16,356,Stomach,0,64611,4.5,4.6,0.54
41,C18-C21,356,Colorectum,0,70038,4.9,5.0,0.58
11,C22,356,Liver and intrahepatic bile ducts,0,38703,2.7,2.8,0.33
12,C23,356,Gallbladder,0,21780,1.5,1.6,0.18
13,C25,356,Pancreas,0,13661,0.96,0.97,0.12
14,C32,356,Larynx,0,35855,2.5,2.6,0.31
15,C33-34,356,"Trachea, bronchus and lung",0,81748,5.8,5.8,0.71
16,C43,356,Melanoma of skin,0,3689,0.26,0.26,0.03
18,C45,356,Mesothelioma,0,1613,0.11,0.11,0.01
19,C46,356,Kaposi sarcoma,0,66,0.00,0.00,0.00
20,C50,356,Breast,0,192020,26.6,28.4,2.9
21,C51,356,Vulva,0,3112,0.43,0.46,0.05
22,C52,356,Vagina,0,5000,0.70,0.74,0.08
23,C53,356,Cervix uteri,0,127526,17.7,18.9,2.0
24,C54,356,Corpus uteri,0,17420,2.5,2.6,0.30
25,C56,356,Ovary,0,47333,6.6,7.0,0.72
26,C60,356,Penis,0,10443,1.5,1.4,0.17
27,C61,356,Prostate,0,37948,5.6,5.2,0.67
28,C62,356,Testis,0,4456,0.57,0.61,0.05
29,C64,356,Kidney,0,17480,1.3,1.2,0.14
30,C67,356,Bladder,0,22548,1.6,1.6,0.19
31,C70-72,356," Brain, central nervous system",0,32574,2.3,2.3,0.22
32,C73,356,Thyroid,0,21873,1.5,1.6,0.14
33,C81,356,Hodgkin lymphoma,0,9611,0.67,0.68,0.06
34,C82-86+C88,356,Non-Hodgkin lymphoma,0,39736,2.8,2.8,0.31
35,C90,356,Multiple myeloma,0,16526,1.2,1.2,0.14
36,C91-95,356,Leukaemia,0,49883,3.6,3.6,0.31
