Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,360,All cancers excl. non-melanoma skin cancer,0,400820,134.2,143.6,13.7
1,C00-06,360,"Lip, oral cavity",0,6515,2.2,2.3,0.25
2,C07-08,360,Salivary glands,0,2436,0.80,0.87,0.09
3,C09-10,360,Oropharynx,0,1525,0.51,0.55,0.05
4,C11,360,Nasopharynx,0,18835,6.1,6.8,0.70
5,C12-13,360,Hypopharynx,0,292,0.10,0.10,0.01
6,C15,360,Oesophagus,0,1382,0.48,0.50,0.06
7,C16,360,Stomach,0,3852,1.3,1.4,0.13
41,C18-C21,360,Colorectum,0,35676,12.1,12.8,1.4
11,C22,360,Liver and intrahepatic bile ducts,0,23805,8.0,8.5,0.92
12,C23,360,Gallbladder,0,627,0.22,0.22,0.02
13,C25,360,Pancreas,0,5734,2.0,2.1,0.24
14,C32,360,Larynx,0,4000,1.4,1.4,0.16
15,C33-34,360,"Trachea, bronchus and lung",0,38904,13.4,13.9,1.6
16,C43,360,Melanoma of skin,0,1716,0.60,0.61,0.06
18,C45,360,Mesothelioma,0,243,0.09,0.09,0.01
19,C46,360,Kaposi sarcoma,0,117,0.04,0.04,0.01
20,C50,360,Breast,0,66271,41.8,47.8,4.4
21,C51,360,Vulva,0,1307,0.84,0.94,0.09
22,C52,360,Vagina,0,462,0.30,0.33,0.02
23,C53,360,Cervix uteri,0,36964,23.3,26.7,2.4
24,C54,360,Corpus uteri,0,8384,5.3,6.1,0.59
25,C56,360,Ovary,0,15130,9.8,10.9,1.0
26,C60,360,Penis,0,1098,0.77,0.78,0.08
27,C61,360,Prostate,0,13130,10.5,9.3,1.2
28,C62,360,Testis,0,1492,1.1,1.1,0.07
29,C64,360,Kidney,0,2676,0.90,0.96,0.11
30,C67,360,Bladder,0,7381,2.6,2.6,0.30
31,C70-72,360," Brain, central nervous system",0,5738,2.0,2.1,0.18
32,C73,360,Thyroid,0,13761,4.5,4.9,0.45
33,C81,360,Hodgkin lymphoma,0,1294,0.44,0.46,0.04
34,C82-86+C88,360,Non-Hodgkin lymphoma,0,16175,5.5,5.8,0.61
35,C90,360,Multiple myeloma,0,3289,1.2,1.2,0.14
36,C91-95,360,Leukaemia,0,13959,5.2,5.0,0.43
