Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,364,All cancers excl. non-melanoma skin cancer,0,133121,144.5,154.8,15.1
1,C00-06,364,"Lip, oral cavity",0,1307,1.4,1.5,0.16
2,C07-08,364,Salivary glands,0,295,0.31,0.34,0.03
3,C09-10,364,Oropharynx,0,109,0.12,0.13,0.01
4,C11,364,Nasopharynx,0,263,0.28,0.31,0.03
5,C12-13,364,Hypopharynx,0,115,0.13,0.13,0.02
6,C15,364,Oesophagus,0,3556,3.9,4.1,0.47
7,C16,364,Stomach,0,17191,19.4,20.0,2.4
41,C18-C21,364,Colorectum,0,12899,13.9,15.0,1.6
11,C22,364,Liver and intrahepatic bile ducts,0,5842,6.4,6.8,0.73
12,C23,364,Gallbladder,0,546,0.60,0.63,0.07
13,C25,364,Pancreas,0,3494,3.9,4.1,0.51
14,C32,364,Larynx,0,2762,3.0,3.2,0.38
15,C33-34,364,"Trachea, bronchus and lung",0,10934,12.1,12.7,1.4
16,C43,364,Melanoma of skin,0,716,0.78,0.83,0.08
18,C45,364,Mesothelioma,0,46,0.05,0.05,0.01
19,C46,364,Kaposi sarcoma,0,172,0.19,0.20,0.02
20,C50,364,Breast,0,15492,30.5,36.3,3.1
21,C51,364,Vulva,0,48,0.10,0.11,0.01
22,C52,364,Vagina,0,55,0.12,0.13,0.01
23,C53,364,Cervix uteri,0,1265,2.5,3.0,0.27
24,C54,364,Corpus uteri,0,1434,3.1,3.4,0.36
25,C56,364,Ovary,0,2027,4.2,4.8,0.44
26,C60,364,Penis,0,35,0.08,0.08,0.01
27,C61,364,Prostate,0,9793,21.8,22.6,2.5
28,C62,364,Testis,0,700,1.4,1.6,0.12
29,C64,364,Kidney,0,2061,2.3,2.4,0.25
30,C67,364,Bladder,0,6400,7.1,7.4,0.84
31,C70-72,364," Brain, central nervous system",0,5803,6.3,6.8,0.63
32,C73,364,Thyroid,0,3939,4.0,4.6,0.40
33,C81,364,Hodgkin lymphoma,0,1679,1.9,2.0,0.17
34,C82-86+C88,364,Non-Hodgkin lymphoma,0,3655,4.0,4.3,0.41
35,C90,364,Multiple myeloma,0,1325,1.4,1.5,0.17
36,C91-95,364,Leukaemia,0,6485,7.4,7.5,0.72
