Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,368,All cancers excl. non-melanoma skin cancer,0,36982,134.9,87.7,14.0
1,C00-06,368,"Lip, oral cavity",0,293,1.2,0.69,0.13
2,C07-08,368,Salivary glands,0,135,0.49,0.32,0.05
3,C09-10,368,Oropharynx,0,21,0.09,0.05,0.01
4,C11,368,Nasopharynx,0,175,0.58,0.42,0.06
5,C12-13,368,Hypopharynx,0,27,0.10,0.06,0.01
6,C15,368,Oesophagus,0,280,1.2,0.66,0.14
7,C16,368,Stomach,0,1267,5.0,3.0,0.58
41,C18-C21,368,Colorectum,0,2320,8.9,5.5,1.0
11,C22,368,Liver and intrahepatic bile ducts,0,807,3.4,1.9,0.39
12,C23,368,Gallbladder,0,178,0.78,0.42,0.09
13,C25,368,Pancreas,0,766,3.2,1.8,0.40
14,C32,368,Larynx,0,544,2.4,1.3,0.29
15,C33-34,368,"Trachea, bronchus and lung",0,2814,12.5,6.7,1.5
16,C43,368,Melanoma of skin,0,111,0.42,0.26,0.05
18,C45,368,Mesothelioma,0,27,0.11,0.06,0.01
19,C46,368,Kaposi sarcoma,0,51,0.22,0.12,0.02
20,C50,368,Breast,0,8626,56.9,41.4,6.0
21,C51,368,Vulva,0,28,0.22,0.13,0.03
22,C52,368,Vagina,0,19,0.14,0.09,0.02
23,C53,368,Cervix uteri,0,311,2.2,1.5,0.25
24,C54,368,Corpus uteri,0,688,5.2,3.3,0.62
25,C56,368,Ovary,0,1002,6.7,4.8,0.73
26,C60,368,Penis,0,3,0.03,0.01,0.00
27,C61,368,Prostate,0,1187,12.7,5.6,1.5
28,C62,368,Testis,0,239,1.3,1.1,0.11
29,C64,368,Kidney,0,858,3.1,2.0,0.34
30,C67,368,Bladder,0,1494,6.6,3.5,0.78
31,C70-72,368," Brain, central nervous system",0,1769,5.5,4.2,0.55
32,C73,368,Thyroid,0,1618,4.7,3.8,0.46
33,C81,368,Hodgkin lymphoma,0,894,2.5,2.1,0.22
34,C82-86+C88,368,Non-Hodgkin lymphoma,0,1930,6.6,4.6,0.71
35,C90,368,Multiple myeloma,0,481,2.0,1.1,0.23
36,C91-95,368,Leukaemia,0,2258,6.9,5.4,0.66
