Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,376,All cancers excl. non-melanoma skin cancer,0,30234,244.3,338.8,24.3
1,C00-06,376,"Lip, oral cavity",0,231,1.7,2.6,0.18
2,C07-08,376,Salivary glands,0,99,0.77,1.1,0.08
3,C09-10,376,Oropharynx,0,24,0.21,0.27,0.03
4,C11,376,Nasopharynx,0,57,0.55,0.64,0.06
5,C12-13,376,Hypopharynx,0,15,0.12,0.17,0.02
6,C15,376,Oesophagus,0,169,1.1,1.9,0.13
7,C16,376,Stomach,0,796,5.8,8.9,0.65
41,C18-C21,376,Colorectum,0,3240,24.8,36.3,2.7
11,C22,376,Liver and intrahepatic bile ducts,0,376,2.8,4.2,0.31
12,C23,376,Gallbladder,0,74,0.52,0.83,0.07
13,C25,376,Pancreas,0,1185,8.2,13.3,0.93
14,C32,376,Larynx,0,195,1.6,2.2,0.20
15,C33-34,376,"Trachea, bronchus and lung",0,3006,22.6,33.7,2.8
16,C43,376,Melanoma of skin,0,1317,10.8,14.8,1.2
18,C45,376,Mesothelioma,0,49,0.36,0.55,0.04
19,C46,376,Kaposi sarcoma,0,91,0.58,1.0,0.06
20,C50,376,Breast,0,4618,78.7,103.2,8.4
21,C51,376,Vulva,0,74,0.85,1.7,0.08
22,C52,376,Vagina,0,20,0.25,0.45,0.03
23,C53,376,Cervix uteri,0,330,6.2,7.4,0.63
24,C54,376,Corpus uteri,0,914,14.3,20.4,1.8
25,C56,376,Ovary,0,492,7.7,11.0,0.81
26,C60,376,Penis,0,9,0.14,0.20,0.02
27,C61,376,Prostate,0,2656,44.6,59.7,6.3
28,C62,376,Testis,0,136,3.1,3.1,0.24
29,C64,376,Kidney,0,892,7.9,10.0,0.92
30,C67,376,Bladder,0,1873,13.7,21.0,1.6
31,C70-72,376," Brain, central nervous system",0,550,5.1,6.2,0.49
32,C73,376,Thyroid,0,1200,12.3,13.5,1.2
33,C81,376,Hodgkin lymphoma,0,254,2.8,2.9,0.23
34,C82-86+C88,376,Non-Hodgkin lymphoma,0,1680,13.9,18.8,1.5
35,C90,376,Multiple myeloma,0,492,3.6,5.5,0.43
36,C91-95,376,Leukaemia,0,947,7.6,10.6,0.74
