Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,398,All cancers excl. non-melanoma skin cancer,0,34116,153.3,177.6,17.1
1,C00-06,398,"Lip, oral cavity",0,602,2.7,3.1,0.33
2,C07-08,398,Salivary glands,0,164,0.72,0.85,0.08
3,C09-10,398,Oropharynx,0,150,0.67,0.78,0.08
4,C11,398,Nasopharynx,0,97,0.46,0.51,0.05
5,C12-13,398,Hypopharynx,0,79,0.36,0.41,0.04
6,C15,398,Oesophagus,0,946,4.1,4.9,0.54
7,C16,398,Stomach,0,3085,13.7,16.1,1.8
41,C18-C21,398,Colorectum,0,3514,15.5,18.3,2.0
11,C22,398,Liver and intrahepatic bile ducts,0,1199,5.3,6.2,0.68
12,C23,398,Gallbladder,0,111,0.49,0.58,0.06
13,C25,398,Pancreas,0,1189,5.3,6.2,0.67
14,C32,398,Larynx,0,505,2.3,2.6,0.29
15,C33-34,398,"Trachea, bronchus and lung",0,4429,19.7,23.1,2.6
16,C43,398,Melanoma of skin,0,280,1.3,1.5,0.14
18,C45,398,Mesothelioma,0,53,0.24,0.28,0.03
19,C46,398,Kaposi sarcoma,0,25,0.11,0.13,0.01
20,C50,398,Breast,0,4570,36.9,46.3,4.2
21,C51,398,Vulva,0,127,0.92,1.3,0.11
22,C52,398,Vagina,0,51,0.40,0.52,0.05
23,C53,398,Cervix uteri,0,1824,15.5,18.5,1.6
24,C54,398,Corpus uteri,0,1291,10.3,13.1,1.3
25,C56,398,Ovary,0,931,7.7,9.4,0.87
26,C60,398,Penis,0,38,0.42,0.41,0.05
27,C61,398,Prostate,0,1359,15.5,14.6,2.0
28,C62,398,Testis,0,132,1.4,1.4,0.12
29,C64,398,Kidney,0,1013,4.6,5.3,0.56
30,C67,398,Bladder,0,740,3.3,3.9,0.41
31,C70-72,398," Brain, central nervous system",0,776,3.7,4.0,0.37
32,C73,398,Thyroid,0,602,2.8,3.1,0.30
33,C81,398,Hodgkin lymphoma,0,168,0.85,0.87,0.08
34,C82-86+C88,398,Non-Hodgkin lymphoma,0,476,2.2,2.5,0.25
35,C90,398,Multiple myeloma,0,152,0.68,0.79,0.09
36,C91-95,398,Leukaemia,0,662,3.2,3.5,0.31
