Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,408,All cancers excl. non-melanoma skin cancer,0,61212,165.2,235.5,17.6
1,C00-06,408,"Lip, oral cavity",0,337,0.89,1.3,0.10
2,C07-08,408,Salivary glands,0,112,0.33,0.43,0.03
3,C09-10,408,Oropharynx,0,82,0.21,0.32,0.03
4,C11,408,Nasopharynx,0,344,0.97,1.3,0.11
5,C12-13,408,Hypopharynx,0,96,0.25,0.37,0.03
6,C15,408,Oesophagus,0,1608,4.2,6.2,0.51
7,C16,408,Stomach,0,5312,13.9,20.4,1.7
41,C18-C21,408,Colorectum,0,7228,19.0,27.8,2.3
11,C22,408,Liver and intrahepatic bile ducts,0,6180,16.4,23.8,2.0
12,C23,408,Gallbladder,0,968,2.5,3.7,0.29
13,C25,408,Pancreas,0,1821,4.7,7.0,0.54
14,C32,408,Larynx,0,581,1.5,2.2,0.20
15,C33-34,408,"Trachea, bronchus and lung",0,14773,38.4,56.8,4.6
16,C43,408,Melanoma of skin,0,97,0.27,0.37,0.03
18,C45,408,Mesothelioma,0,72,0.18,0.28,0.02
19,C46,408,Kaposi sarcoma,0,5,0.02,0.02,0.00
20,C50,408,Breast,0,5943,32.3,44.8,3.4
21,C51,408,Vulva,0,56,0.26,0.42,0.03
22,C52,408,Vagina,0,30,0.14,0.23,0.02
23,C53,408,Cervix uteri,0,2153,11.8,16.2,1.2
24,C54,408,Corpus uteri,0,870,4.5,6.6,0.52
25,C56,408,Ovary,0,1123,5.9,8.5,0.66
26,C60,408,Penis,0,57,0.38,0.45,0.04
27,C61,408,Prostate,0,525,3.7,4.1,0.39
28,C62,408,Testis,0,56,0.39,0.44,0.03
29,C64,408,Kidney,0,1160,3.2,4.5,0.37
30,C67,408,Bladder,0,1599,4.1,6.2,0.50
31,C70-72,408," Brain, central nervous system",0,1086,3.3,4.2,0.34
32,C73,408,Thyroid,0,1086,3.3,4.2,0.32
33,C81,408,Hodgkin lymphoma,0,129,0.44,0.50,0.03
34,C82-86+C88,408,Non-Hodgkin lymphoma,0,700,2.0,2.7,0.23
35,C90,408,Multiple myeloma,0,215,0.56,0.83,0.07
36,C91-95,408,Leukaemia,0,1389,4.7,5.3,0.42
