Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,414,All cancers excl. non-melanoma skin cancer,0,4327,110.9,98.8,11.7
1,C00-06,414,"Lip, oral cavity",0,65,1.5,1.5,0.19
2,C07-08,414,Salivary glands,0,15,0.34,0.34,0.04
3,C09-10,414,Oropharynx,0,5,0.10,0.11,0.01
4,C11,414,Nasopharynx,0,45,0.84,1.0,0.11
5,C12-13,414,Hypopharynx,0,12,0.34,0.27,0.05
6,C15,414,Oesophagus,0,32,1.1,0.73,0.12
7,C16,414,Stomach,0,86,2.5,2.0,0.27
41,C18-C21,414,Colorectum,0,436,11.2,10.0,1.3
11,C22,414,Liver and intrahepatic bile ducts,0,138,4.3,3.2,0.48
12,C23,414,Gallbladder,0,28,0.83,0.64,0.10
13,C25,414,Pancreas,0,110,3.3,2.5,0.39
14,C32,414,Larynx,0,47,1.4,1.1,0.16
15,C33-34,414,"Trachea, bronchus and lung",0,207,6.4,4.7,0.80
16,C43,414,Melanoma of skin,0,14,0.26,0.32,0.03
18,C45,414,Mesothelioma,0,19,0.48,0.43,0.07
19,C46,414,Kaposi sarcoma,0,5,0.13,0.11,0.02
20,C50,414,Breast,0,892,49.8,52.6,5.5
21,C51,414,Vulva,0,2,0.12,0.12,0.02
22,C52,414,Vagina,0,0,0.00,0.00,0.00
23,C53,414,Cervix uteri,0,61,3.1,3.6,0.36
24,C54,414,Corpus uteri,0,123,8.5,7.3,1.1
25,C56,414,Ovary,0,83,5.5,4.9,0.59
26,C60,414,Penis,0,0,0.00,0.00,0.00
27,C61,414,Prostate,0,274,16.6,10.2,1.9
28,C62,414,Testis,0,20,0.63,0.75,0.05
29,C64,414,Kidney,0,93,2.5,2.1,0.28
30,C67,414,Bladder,0,151,4.6,3.5,0.52
31,C70-72,414," Brain, central nervous system",0,76,1.8,1.7,0.19
32,C73,414,Thyroid,0,251,4.8,5.7,0.49
33,C81,414,Hodgkin lymphoma,0,84,1.9,1.9,0.17
34,C82-86+C88,414,Non-Hodgkin lymphoma,0,258,6.2,5.9,0.67
35,C90,414,Multiple myeloma,0,65,1.8,1.5,0.20
36,C91-95,414,Leukaemia,0,216,6.0,4.9,0.51
