Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,417,All cancers excl. non-melanoma skin cancer,0,7040,121.2,104.6,13.4
1,C00-06,417,"Lip, oral cavity",0,106,1.9,1.6,0.20
2,C07-08,417,Salivary glands,0,42,0.72,0.62,0.07
3,C09-10,417,Oropharynx,0,19,0.35,0.28,0.04
4,C11,417,Nasopharynx,0,35,0.61,0.52,0.07
5,C12-13,417,Hypopharynx,0,49,0.84,0.73,0.10
6,C15,417,Oesophagus,0,177,3.3,2.6,0.40
7,C16,417,Stomach,0,932,16.5,13.9,2.0
41,C18-C21,417,Colorectum,0,437,7.9,6.5,0.95
11,C22,417,Liver and intrahepatic bile ducts,0,431,7.8,6.4,0.98
12,C23,417,Gallbladder,0,57,1.1,0.85,0.15
13,C25,417,Pancreas,0,258,4.7,3.8,0.60
14,C32,417,Larynx,0,80,1.4,1.2,0.21
15,C33-34,417,"Trachea, bronchus and lung",0,782,14.1,11.6,1.9
16,C43,417,Melanoma of skin,0,43,0.76,0.64,0.07
18,C45,417,Mesothelioma,0,4,0.07,0.06,0.01
19,C46,417,Kaposi sarcoma,0,10,0.16,0.15,0.02
20,C50,417,Breast,0,852,25.3,25.1,2.7
21,C51,417,Vulva,0,34,1.0,1.0,0.10
22,C52,417,Vagina,0,9,0.28,0.26,0.05
23,C53,417,Cervix uteri,0,479,14.1,14.1,1.5
24,C54,417,Corpus uteri,0,232,6.9,6.8,0.80
25,C56,417,Ovary,0,241,7.3,7.1,0.83
26,C60,417,Penis,0,3,0.10,0.09,0.01
27,C61,417,Prostate,0,134,7.4,4.0,0.95
28,C62,417,Testis,0,28,0.82,0.84,0.06
29,C64,417,Kidney,0,144,2.5,2.1,0.31
30,C67,417,Bladder,0,121,2.2,1.8,0.28
31,C70-72,417," Brain, central nervous system",0,245,3.9,3.6,0.40
32,C73,417,Thyroid,0,104,1.7,1.6,0.18
33,C81,417,Hodgkin lymphoma,0,52,0.80,0.77,0.06
34,C82-86+C88,417,Non-Hodgkin lymphoma,0,97,1.6,1.4,0.19
35,C90,417,Multiple myeloma,0,16,0.29,0.24,0.04
36,C91-95,417,Leukaemia,0,243,3.8,3.6,0.34
