Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,418,All cancers excl. non-melanoma skin cancer,0,8993,152.5,120.2,15.7
1,C00-06,418,"Lip, oral cavity",0,210,3.7,2.8,0.39
2,C07-08,418,Salivary glands,0,36,0.59,0.48,0.07
3,C09-10,418,Oropharynx,0,35,0.58,0.47,0.07
4,C11,418,Nasopharynx,0,236,3.8,3.2,0.42
5,C12-13,418,Hypopharynx,0,58,0.99,0.78,0.12
6,C15,418,Oesophagus,0,253,4.4,3.4,0.52
7,C16,418,Stomach,0,634,11.3,8.5,1.3
41,C18-C21,418,Colorectum,0,781,14.1,10.4,1.6
11,C22,418,Liver and intrahepatic bile ducts,0,1379,24.9,18.4,2.9
12,C23,418,Gallbladder,0,72,1.4,0.96,0.15
13,C25,418,Pancreas,0,78,1.4,1.0,0.15
14,C32,418,Larynx,0,74,1.3,0.99,0.16
15,C33-34,418,"Trachea, bronchus and lung",0,961,17.6,12.9,2.1
16,C43,418,Melanoma of skin,0,25,0.41,0.33,0.04
18,C45,418,Mesothelioma,0,0,0.00,0.00,0.00
19,C46,418,Kaposi sarcoma,0,2,0.02,0.03,0.00
20,C50,418,Breast,0,1033,31.6,27.7,3.3
21,C51,418,Vulva,0,19,0.61,0.51,0.07
22,C52,418,Vagina,0,8,0.27,0.21,0.04
23,C53,418,Cervix uteri,0,401,12.0,10.8,1.2
24,C54,418,Corpus uteri,0,100,3.3,2.7,0.39
25,C56,418,Ovary,0,184,5.5,4.9,0.57
26,C60,418,Penis,0,35,1.3,0.93,0.13
27,C61,418,Prostate,0,91,4.1,2.4,0.48
28,C62,418,Testis,0,20,0.52,0.53,0.04
29,C64,418,Kidney,0,74,1.3,0.99,0.14
30,C67,418,Bladder,0,101,1.9,1.4,0.21
31,C70-72,418," Brain, central nervous system",0,193,3.0,2.6,0.29
32,C73,418,Thyroid,0,338,4.9,4.5,0.48
33,C81,418,Hodgkin lymphoma,0,23,0.29,0.31,0.03
34,C82-86+C88,418,Non-Hodgkin lymphoma,0,267,4.3,3.6,0.45
35,C90,418,Multiple myeloma,0,64,1.1,0.86,0.16
36,C91-95,418,Leukaemia,0,343,5.0,4.6,0.43
