Cancer code,ICD Code,Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,426,All cancers excl. non-melanoma skin cancer,0,1969,112.1,90.5,11.0
1,C00-06,426,"Lip, oral cavity",0,29,1.8,1.3,0.23
2,C07-08,426,Salivary glands,0,0,0.00,0.00,0.00
3,C09-10,426,Oropharynx,0,6,0.39,0.28,0.06
4,C11,426,Nasopharynx,0,1,0.04,0.05,0.00
5,C12-13,426,Hypopharynx,0,0,0.00,0.00,0.00
6,C15,426,Oesophagus,0,119,7.4,5.5,0.77
7,C16,426,Stomach,0,27,1.7,1.2,0.16
41,C18-C21,426,Colorectum,0,97,5.8,4.5,0.65
11,C22,426,Liver and intrahepatic bile ducts,0,52,3.0,2.4,0.28
12,C23,426,Gallbladder,0,0,0.00,0.00,0.00
13,C25,426,Pancreas,0,20,1.2,0.92,0.15
14,C32,426,Larynx,0,11,0.69,0.51,0.08
15,C33-34,426,"Trachea, bronchus and lung",0,68,4.2,3.1,0.47
16,C43,426,Melanoma of skin,0,9,0.57,0.41,0.05
18,C45,426,Mesothelioma,0,2,0.12,0.09,0.02
19,C46,426,Kaposi sarcoma,0,141,6.5,6.5,0.56
20,C50,426,Breast,0,187,18.9,17.0,2.0
21,C51,426,Vulva,0,27,2.8,2.5,0.28
22,C52,426,Vagina,0,3,0.34,0.27,0.03
23,C53,426,Cervix uteri,0,598,60.5,54.3,6.1
24,C54,426,Corpus uteri,0,22,2.3,2.0,0.31
25,C56,426,Ovary,0,26,2.6,2.4,0.29
26,C60,426,Penis,0,22,3.1,2.1,0.34
27,C61,426,Prostate,0,181,32.1,16.8,3.0
28,C62,426,Testis,0,3,0.23,0.28,0.02
29,C64,426,Kidney,0,6,0.36,0.28,0.04
30,C67,426,Bladder,0,26,1.6,1.2,0.15
31,C70-72,426," Brain, central nervous system",0,9,0.47,0.41,0.04
32,C73,426,Thyroid,0,5,0.33,0.23,0.05
33,C81,426,Hodgkin lymphoma,0,8,0.35,0.37,0.03
34,C82-86+C88,426,Non-Hodgkin lymphoma,0,50,2.6,2.3,0.24
35,C90,426,Multiple myeloma,0,8,0.51,0.37,0.06
36,C91-95,426,Leukaemia,0,12,0.67,0.55,0.05
